{19034656=<>, 130447060=<>, 61292961=<>},1420574522643
{5146511=<>, 19034656==, 130447060==},1420574582643
{5146511==, 23354464=<>, 90714989=<>},1420574642643
{15520253=<>, 23354464==, 1051313198=<>},1420574702643
{7023592=<>, 23354464==, 1051313198==},1420574762643
{7023592==, 278093318=<>, 45710831=<>},1420574822643
{23354464==, 259637983=<>, 27091328=<>},1420574882643
{14845376=<>, 23354464==, 27091328==},1420574942643
{14192680=<>, 23354464==, 27091328=<>},1420575002643
{14192680==, 1051313198==, 27091328==},1420575062643
{15520253==, 61292961=<>, 27091328=<>},1420575122643
{61292961==, 1051313198==, 27091328==},1420575182643
{15520253=<>, 19034656==, 27091328==},1420575242643
{19034656==, 278093318=<>, 27091328==},1420575302643
{14192680=<>, 278093318==, 28319608=<>},1420575362643
{14845376=<>, 23354464=<>, 278093318=<>},1420575422643
{23354464==, 278093318==, 27091328==},1420575482643
{278093318==, 61292961==, 27091328==},1420575542643
{278093318==, 61292961==, 27091328==},1420575602643
{23354464=<>, 259637983==, 27091328==},1420575662643
{23354464==, 259637983==, 27091328==},1420575722643
{23354464==, 28319608=<>, 27091328=<>},1420575782643
{23354464==, 28319608==, 27091328==},1420575842643
{14845376=<>, 28319608==, 27091328==},1420575902643
{278093318=<>, 28319608==, 27091328==},1420575962643
{14845376=<>, 278093318==, 27091328==},1420576022643
{14845376==, 23354464==, 27091328==},1420576082643
{23354464==, 1051313198=<>, 27091328==},1420576142643
{23354464==, 45710831=<>, 27091328==},1420576202643
{23354464==, 45710831=<>, 27091328==},1420576262643
{14845376=<>, 278093318=<>, 27091328==},1420576322643
{14192680=<>, 19034656=<>, 97175299=<>},1420576382643
{19034656==, 14845376==, 97175299==},1420576442643
{23354464=<>, 45710831=<>, 27091328==},1420576502643
{23354464==, 61292961=<>, 45710831==},1420576562643
{23354464==, 61292961==, 27091328==},1420576622643
{188077169=<>, 278093318=<>, 45710831==},1420576682643
{188077169==, 61292961=<>, 45710831==},1420576742643
{19034656=<>, 23354464=<>, 61292961==},1420576802643
{23354464==, 61292961==, 27091328==},1420576862643
{23354464==, 61292961==, 27091328==},1420576922643
{14192680=<>, 188077169==, 61292961==},1420576982643
{23354464=<>, 61292961==, 27091328==},1420577042643
{19034656==, 23354464==, 27091328==},1420577102643
{14845376=<>, 23354464==, 278093318=<>},1420577162643
{14845376==, 23354464==, 188077169==},1420577222643
{14845376==, 23354464==, 188077169==},1420577282643
{14845376==, 23354464==, 27091328==},1420577342643
{15520253=<>, 23354464==, 45710831==},1420577402643
{15520253==, 23354464==, 45710831==},1420577462643
{14192680=<>, 14845376=<>, 23354464==},1420577522643
{15520253==, 23354464==, 45710831==},1420577582643
{15520253=<>, 14845376=<>, 23354464==},1420577642643
{14845376==, 23354464=<>, 27091328=<>},1420577702643
{14845376=<>, 23354464==, 27091328==},1420577762643
{23354464==, 45710831==, 27091328==},1420577822643
{14845376==, 23354464==, 45710831==},1420577882643
{14845376==, 23354464==, 1051313198==},1420577942643
{14845376==, 23354464==, 1051313198==},1420578002643
{14845376==, 23354464==, 45710831==},1420578062643
{14845376=<>, 23354464==, 45710831==},1420578122643
{15520253=<>, 14845376==, 23354464==},1420578182643
{15520253=<>, 23354464==, 27091328==},1420578242643
{15520253==, 23354464==, 27091328==},1420578302643
{14845376=<>, 23354464==, 188077169=<>},1420578362643
{14845376==, 23354464==, 278093318==},1420578422643
{14845376==, 23354464==, 188077169=<>},1420578482643
{14845376==, 23354464==, 278093318==},1420578542643
{14845376==, 23354464==, 259637983=<>},1420578602643
{14845376=<>, 23354464==, 259637983==},1420578662643
{14845376==, 23354464==, 278093318=<>},1420578722643
{23354464==, 90714989=<>, 27091328=<>},1420578782643
{23354464==, 90714989==, 27091328==},1420578842643
{14192680=<>, 14845376=<>, 23354464==},1420578902643
{14845376==, 23354464==, 27091328==},1420578962643
{14845376==, 23354464==, 27091328==},1420579022643
{14845376==, 23354464==, 27091328=<>},1420579082643
{23354464=<>, 61292961=<>, 27091328==},1420579142643
{23354464==, 61292961==, 27091328==},1420579202643
{14845376==, 23354464==, 27091328==},1420579262643
{14845376==, 23354464==, 27091328==},1420579322643
{19034656=<>, 14845376==, 23354464==},1420579382643
{19034656==, 14845376==, 23354464==},1420579442643
{14845376==, 23354464==, 278093318=<>},1420579502643
{14845376==, 23354464=<>, 278093318==},1420579562643
{14845376==, 23354464==, 27091328==},1420579622643
{14845376==, 23354464==, 27091328==},1420579682643
{14845376==, 23354464==, 27091328==},1420579742643
{5146511=<>, 23354464==, 27091328==},1420579802643
{5146511==, 23354464==, 27091328==},1420579862643
{15520253=<>, 14845376==, 188077169=<>},1420579922643
{15520253==, 14845376==, 23354464==},1420579982643
{14845376==, 23354464==, 188077169==},1420580042643
{23354464==, 259637983==, 27091328==},1420580102643
{19034656==, 23354464==, 45710831=<>},1420580162643
{23354464==, 45710831==, 27091328=<>},1420580222643
{15520253=<>, 45710831==, 27091328==},1420580282643
{23354464==, 45710831=<>, 27091328==},1420580342643
{15520253==, 45710831==, 27091328==},1420580402643
{23354464==, 45710831=<>, 27091328==},1420580462643
{14845376==, 23354464==, 45710831==},1420580522643
{14845376==, 278093318=<>, 45710831==},1420580582643
{15520253==, 14845376==, 45710831==},1420580642643
{15520253==, 14845376==, 45710831==},1420580702643
{14845376==, 23354464==, 45710831==},1420580762643
{14845376==, 23354464==, 45710831==},1420580822643
{61292961=<>, 45710831==, 27091328==},1420580882643
{14845376==, 7023592=<>, 45710831==},1420580942643
{7023592==, 23354464==, 45710831==},1420581002643
{14845376==, 23354464==, 45710831==},1420581062643
{14845376==, 23354464==, 45710831==},1420581122643
{23354464==, 61292961==, 45710831==},1420581182643
{14845376==, 61292961==, 259637983=<>},1420581242643
{14845376==, 45710831==, 259637983==},1420581302643
{14845376==, 23354464==, 45710831==},1420581362643
{14845376==, 45710831==, 259637983=<>},1420581422643
{23354464==, 45710831==, 27091328==},1420581482643
{23354464==, 45710831==, 27091328==},1420581542643
{14192680=<>, 14845376==, 278093318=<>},1420581602643
{19034656=<>, 23354464==, 45710831==},1420581662643
{19034656==, 23354464==, 90714989=<>},1420581722643
{19034656==, 23354464=<>, 90714989==},1420581782643
{19034656==, 23354464==, 45710831=<>},1420581842643
{14845376=<>, 278093318=<>, 45710831==},1420581902643
{14845376==, 23354464==, 45710831==},1420581962643
{19034656==, 23354464==, 259637983=<>},1420582022643
{19034656==, 23354464==, 45710831==},1420582082643
{23354464==, 278093318==, 45710831==},1420582142643
{14845376==, 23354464==, 45710831==},1420582202643
{14845376==, 23354464=<>, 45710831==},1420582262643
{15520253=<>, 278093318==, 45710831==},1420582322643
{15520253==, 14845376==, 278093318==},1420582382643
{14845376==, 259637983=<>, 27091328==},1420582442643
{45710831==, 259637983==, 27091328==},1420582502643
{14192680=<>, 52197340=<>, 45710831==},1420582562643
{52197340==, 14845376=<>, 23354464=<>},1420582622643
{14845376==, 23354464==, 45710831==},1420582682643
{14845376==, 23354464==, 45710831==},1420582742643
{14845376==, 23354464==, 188077169=<>},1420582802643
{14845376==, 45710831=<>, 259637983==},1420582862643
{14845376==, 23354464==, 259637983==},1420582922643
{14845376==, 45710831==, 259637983==},1420582982643
{14845376==, 45710831==, 27091328=<>},1420583042643
{23354464==, 259637983==, 27091328==},1420583102643
{14192680=<>, 23354464==, 278093318==},1420583162643
{188077169=<>, 14787749=<>, 278093318==},1420583222643
{14845376=<>, 14787749==, 259637983==},1420583282643
{14845376==, 14787749=<>, 45710831=<>},1420583342643
{23354464=<>, 14787749==, 45710831==},1420583402643
{23354464==, 14787749==, 259637983==},1420583462643
