{18964685==, 17604456==, 1581203119==},1420574522643
{18964685==, 1581203119=<>, 21986815==},1420574582643
{18964685==, 118292510=<>, 24705687==},1420574642643
{118292510==, 24705687==, 92791146==},1420574702643
{17604456=<>, 92791146==, 23779501==},1420574762643
{18964685==, 49437246=<>, 26207922=<>},1420574822643
{18964685==, 25368027==, 24773493==},1420574882643
{18964685==, 89316412==, 24773493==},1420574942643
{18964685==, 89316412==, 49437246==},1420575002643
{18964685=<>, 24705687=<>, 174083824==},1420575062643
{18964685==, 19934731=<>, 174083824==},1420575122643
{18964685==, 824157=<>, 25870048==},1420575182643
{18964685==, 118292510=<>, 166715703==},1420575242643
{118292510==, 166715703==, 21986815=<>},1420575302643
{18964685==, 89316412==, 21986815==},1420575362643
{18964685==, 89316412==, 17810599==},1420575422643
{18964685==, 25368027=<>, 21986815==},1420575482643
{18964685==, 15601977==, 21986815==},1420575542643
{25368027==, 89787221==, 24773493==},1420575602643
{4380591=<>, 199358175=<>, 15445129==},1420575662643
{349227445==, 89316412==, 824157==},1420575722643
{18964685==, 89316412==, 824157==},1420575782643
{18964685==, 4380591==, 166715703==},1420575842643
{18964685==, 8923182=<>, 21986815=<>},1420575902643
{388784593==, 21986815==, 8923182==},1420575962643
{118292510=<>, 15601977==, 89787221==},1420576022643
{15601977==, 17810599=<>, 8923182==},1420576082643
{15601977==, 17810599==, 199358175==},1420576142643
{15601977==, 199358175==, 824157=<>},1420576202643
{15907716==, 15601977==, 22192440==},1420576262643
{15601977==, 17810599==, 166715703=<>},1420576322643
{17810599==, 2200632505=<>, 166715703==},1420576382643
{118292510==, 199358175=<>, 2200632505==},1420576442643
{118292510==, 193232854=<>, 818340=<>},1420576502643
{18964685==, 824157==, 8923182==},1420576562643
{18964685==, 824157==, 8923182==},1420576622643
{17604456=<>, 24705687=<>, 14811775=<>},1420576682643
{18964685==, 15907716==, 24705687==},1420576742643
{18964685==, 824157==, 1365924662==},1420576802643
{18964685==, 15907716==, 824157=<>},1420576862643
{89316412=<>, 15907716==, 49437246=<>},1420576922643
{512403075=<>, 824157=<>, 49437246==},1420576982643
{316053072==, 24773493=<>, 49437246==},1420577042643
{316053072==, 15445129=<>, 21104725=<>},1420577102643
{15601977==, 25368027=<>, 20263526=<>},1420577162643
{24705687==, 1454742764=<>, 20263526==},1420577222643
{24705687==, 24773493==, 824157==},1420577282643
{174890917=<>, 34541677=<>, 24773493==},1420577342643
{174890917==, 34541677==, 373316165=<>},1420577402643
{18964685==, 373316165=<>, 49437246==},1420577462643
{19934731==, 824157==, 49437246==},1420577522643
{19934731==, 174890917=<>, 824157==},1420577582643
{174890917==, 92791146=<>, 824157==},1420577642643
{174890917==, 199358175=<>, 92791146==},1420577702643
{87290802=<>, 174890917==, 824157==},1420577762643
{17145499==, 87290802==, 174890917==},1420577822643
{17145499==, 174890917==, 92791146==},1420577882643
{17145499==, 174890917==, 92791146==},1420577942643
{174890917==, 20263526==, 92791146==},1420578002643
{24705687=<>, 1581203119=<>, 24773493=<>},1420578062643
{174890917==, 824157==, 1365924662=<>},1420578122643
{174890917==, 92791146==, 1365924662==},1420578182643
{34541677==, 92791146==, 19964088=<>},1420578242643
{73417273=<>, 34541677==, 10069612=<>},1420578302643
{73417273==, 89787221=<>, 23624581=<>},1420578362643
{321470779=<>, 25368027==, 89787221==},1420578422643
{18964685=<>, 321470779==, 89316412==},1420578482643
{18964685=<>, 89316412==, 92791146=<>},1420578542643
{316053072=<>, 89316412==, 92791146==},1420578602643
{89316412==, 89787221==, 92791146==},1420578662643
{28516164=<>, 92791146==, 22192440=<>},1420578722643
{28516164==, 17604456=<>, 22192440==},1420578782643
{388784593=<>, 92791146==, 22192440==},1420578842643
{388784593==, 92791146==, 22192440==},1420578902643
{73417273=<>, 34541677==, 92791146==},1420578962643
{18964685==, 92791146==, 818340==},1420579022643
{18964685==, 384940104=<>, 818340==},1420579082643
{18964685==, 373316165=<>, 824157==},1420579142643
{73417273=<>, 373316165==, 824157==},1420579202643
{18964685=<>, 174890917=<>, 166715703=<>},1420579262643
{18964685=<>, 174890917==, 824157=<>},1420579322643
{18964685==, 89787221=<>, 49437246=<>},1420579382643
{174890917==, 89787221=<>, 4380591=<>},1420579442643
{89316412==, 174890917==, 89787221=<>},1420579502643
{174890917==, 89787221==, 25870048=<>},1420579562643
{349227445=<>, 174890917==, 89787221==},1420579622643
{18964685=<>, 174890917==, 22192440=<>},1420579682643
{174890917==, 824157==, 22192440==},1420579742643
{87290802==, 15907716==, 174890917==},1420579802643
{17145499==, 87290802==, 174890917==},1420579862643
{174890917==, 89787221==, 21986815=<>},1420579922643
{34541677=<>, 89787221==, 21986815==},1420579982643
{174890917==, 824157==, 22192440=<>},1420580042643
{174890917==, 17810599=<>, 824157==},1420580102643
{74578857=<>, 92791146=<>, 824157==},1420580162643
{824157==, 92791146=<>, 22192440==},1420580222643
{17810599=<>, 824157=<>, 22192440==},1420580282643
{174890917==, 17810599==, 824157==},1420580342643
{174890917==, 824157==, 1365924662==},1420580402643
