{1581203119==, 21986815==, 17698956==, 174890917==, 8861752==},1420574522643
{33491215==, 21862217==, 18964685==, 92791146==, 20096207==},1420574582643
{118292510==, 73417273==, 89787221==, 12273252==, 24705687==},1420574642643
{17698956==, 21862217==, 23779501==, 11178672==, 8861752==},1420574702643
{33491215==, 17604456==, 73417273==, 92791146==, 89787221==},1420574762643
{34541677==, 25368027=<>, 49437246==, 18964685==, 26207922=<>},1420574822643
{818340==, 174890917==, 11178672==, 24773493==, 12273252==},1420574882643
{34541677==, 73417273==, 174890917==, 18964685==, 89316412=<>},1420574942643
{824157==, 15601977=<>, 14811775==, 24705687==, 89787221==},1420575002643
{174083824=<>, 21986815==, 19934731==, 8861752=<>, 12273252==},1420575062643
{87290802==, 34541677==, 174890917==, 25870048==, 11178672==},1420575122643
{824157==, 202777395==, 15601977=<>, 18964685==, 89787221==},1420575182643
{21986815=<>, 118292510==, 17604456==, 166715703==, 12273252==},1420575242643
{73417273==, 174890917==, 19934731==, 4380591==, 8861752==},1420575302643
{87290802=<>, 10069612==, 19964088=<>, 89316412=<>, 24773493==},1420575362643
{34541677=<>, 17810599=<>, 25368027=<>, 11178672==, 89787221==},1420575422643
{21986815==, 202777395=<>, 19964088=<>, 174890917==, 18964685==},1420575482643
{15601977=<>, 19964088==, 73417273==, 12273252=<>, 89787221=<>},1420575542643
{15445129=<>, 10069612==, 25368027=<>, 4380591==, 24773493=<>},1420575602643
{17698956==, 11178672==, 555359654=<>, 199358175=<>, 8861752=<>},1420575662643
{824157=<>, 193232854=<>, 349227445=<>, 512403075=<>, 14811775=<>},1420575722643
{21104725=<>, 166715703=<>, 17965433=<>, 14745100==, 15787325=<>},1420575782643
{394078527=<>, 34541677==, 35947725=<>, 22192440=<>, 92791146==},1420575842643
{21986815==, 202777395==, 8923182=<>, 15601977=<>, 18964685=<>},1420575902643
{818340=<>, 73417273=<>, 388784593=<>, 89787221==, 12273252==},1420575962643
{17698956=<>, 394078527==, 118292510=<>, 202777395=<>, 11178672=<>},1420576022643
{567341777=<>, 17810599==, 174890917=<>, 387220815=<>, 24773493==},1420576082643
{15601977=<>, 24206345=<>, 199358175=<>, 8861752=<>, 89787221==},1420576142643
{824157==, 17698956==, 394078527==, 174890917==, 12273252==},1420576202643
{193232854=<>, 15907716=<>, 818340==, 22192440==, 20096207=<>},1420576262643
{17698956==, 15601977==, 166715703==, 17810599=<>, 12273252==},1420576322643
{193232854==, 2200632505=<>, 118292510=<>, 130600206=<>, 24206345=<>},1420576382643
{17698956==, 130600206=<>, 73417273==, 199358175==, 8861752==},1420576442643
{34541677=<>, 193232854=<>, 17698956==, 118292510==, 818340=<>},1420576502643
{824157=<>, 8923182=<>, 15601977=<>, 18964685==, 20096207=<>},1420576562643
{394078527==, 17604456=<>, 21104725==, 14811775=<>, 12273252=<>},1420576622643
{17604456==, 14811775==, 24705687==, 8861752=<>, 12273252==},1420576682643
{17698956==, 15907716=<>, 818340==, 174890917==, 89787221=<>},1420576742643
{824157==, 394078527==, 1365924662=<>, 18964685==, 20096207==},1420576802643
{10069612=<>, 166715703=<>, 17810599==, 49437246=<>, 92791146=<>},1420576862643
{34541677=<>, 15601977=<>, 24206345==, 512403075==, 89316412=<>},1420576922643
{17698956=<>, 394078527=<>, 174890917=<>, 24773493=<>, 89787221==},1420576982643
{17604456=<>, 316053072=<>, 49437246==, 12273252==, 8861752=<>},1420577042643
{15445129=<>, 22990521=<>, 19964088=<>, 25368027=<>, 73417273=<>},1420577102643
{20263526=<>, 10069612==, 15601977=<>, 174890917==, 89787221==},1420577162643
{24206345=<>, 1454742764=<>, 17047743=<>, 19934731=<>, 24705687=<>},1420577222643
{824157=<>, 17698956==, 25368027=<>, 174890917==, 24773493==},1420577282643
{34541677==, 10069612=<>, 25368027==, 174890917==, 24773493==},1420577342643
{373316165=<>, 202777395=<>, 73417273==, 14745100=<>, 12273252=<>},1420577402643
{19934731==, 18964685=<>, 49437246==, 8861752==, 89787221=<>},1420577462643
{824157==, 17698956==, 25368027=<>, 512403075=<>, 12273252==},1420577522643
{824157==, 10069612=<>, 174890917==, 19934731==, 8861752=<>},1420577582643
{21104725=<>, 25368027=<>, 73417273==, 174890917==, 92791146=<>},1420577642643
{824157==, 174890917==, 14811775=<>, 199358175=<>, 8861752==},1420577702643
{87290802=<>, 824157==, 73417273==, 174890917==, 12273252==},1420577762643
{87290802=<>, 21104725=<>, 25368027=<>, 92791146==, 17145499=<>},1420577822643
{824157==, 174890917==, 73417273==, 17965433=<>, 89787221==},1420577882643
{17698956==, 20263526=<>, 10069612=<>, 20096207=<>, 17145499==},1420577942643
{382230093=<>, 316053072=<>, 14745100=<>, 89316412=<>, 24773493=<>},1420578002643
{1581203119==, 34541677=<>, 24705687=<>, 8861752=<>, 12273252==},1420578062643
{22990521=<>, 174890917=<>, 19934731=<>, 1365924662=<>, 14811775=<>},1420578122643
{36767344=<>, 824157=<>, 19964088=<>, 73417273=<>, 92791146=<>},1420578182643
{567341777==, 36767344==, 34541677==, 10069612==, 12273252==},1420578242643
{567341777==, 34541677==, 10069612==, 73417273==},1420578302643
{25368027=<>, 11178672=<>, 23624581=<>, 89787221=<>, 8861752==},1420578362643
{321470779=<>, 25368027==, 11178672==, 12273252=<>, 89787221==},1420578422643
{15445129=<>, 41119424=<>, 131003396==, 18964685=<>, 89316412=<>},1420578482643
{567341777=<>, 34541677=<>, 74578857=<>, 92791146==, 24773493==},1420578542643
{567341777=<>, 316053072=<>, 19934731==, 89316412=<>, 12273252==},1420578602643
{263131563=<>, 73417273==, 92791146=<>, 8861752=<>, 89787221==},1420578662643
{567341777==, 17604456=<>, 28516164=<>, 25368027==, 22192440=<>},1420578722643
{567341777==, 17604456==, 28516164==, 24206345=<>, 22192440==},1420578782643
{824157==, 25368027==, 388784593==, 92791146==, 24773493=<>},1420578842643
{567341777=<>, 824157==, 22192440==, 12273252==, 24773493==},1420578902643
{567341777==, 34541677==, 10069612==, 73417273==, 92791146==},1420578962643
{17604456==, 818340=<>, 14745100=<>, 18964685==, 8861752==},1420579022643
{824157=<>, 25368027=<>, 384940104==, 73417273==, 104291835=<>},1420579082643
{567341777=<>, 34541677=<>, 373316165==, 18964685==, 8861752=<>},1420579142643
{824157==, 373316165==, 73417273=<>, 384940104=<>, 491638416=<>},1420579202643
{34541677==, 166715703=<>, 174890917=<>, 89787221==, 12273252==},1420579262643
{824157==, 17698956=<>, 10069612=<>, 18964685==, 8861752==},1420579322643
{567341777=<>, 17698956=<>, 49437246=<>, 18964685=<>, 89787221=<>},1420579382643
{22990521==, 25870048=<>, 879521=<>, 104291835=<>, 4380591=<>},1420579442643
{25368027=<>, 73417273==, 174890917==, 89316412=<>, 12273252=<>},1420579502643
{34541677==, 10069612=<>, 25870048=<>, 8861752==, 89787221==},1420579562643
{567341777==, 349227445=<>, 174890917==, 12273252==, 89787221==},1420579622643
{34541677==, 22192440=<>, 18964685==, 879521==, 24773493==},1420579682643
{1581203119=<>, 824157==, 10069612==, 17810599=<>, 8861752=<>},1420579742643
{87290802=<>, 118292510=<>, 15907716=<>, 174890917==, 14745100=<>},1420579802643
{349227445==, 1454742764=<>, 17145499=<>, 89787221==, 12273252==},1420579862643
{21986815==, 1581203119=<>, 34541677=<>, 24773493==, 8861752==},1420579922643
{21862217=<>, 10069612=<>, 555359654=<>, 4380591=<>, 89787221==},1420579982643
{824157=<>, 394078527=<>, 24206345==, 17810599==, 22192440==},1420580042643
{193232854=<>, 118292510==, 174890917==, 18964685==, 92791146==},1420580102643
{34541677==, 22990521==, 74578857=<>, 20096207=<>, 8861752=<>},1420580162643
{824157==, 394078527==, 1454742764=<>, 22192440==, 89787221==},1420580222643
{34541677==, 17810599==, 879521=<>, 24773493=<>, 8861752==},1420580282643
{824157==, 17896885=<>, 384940104=<>, 174890917=<>, 89787221=<>},1420580342643
{1581203119=<>, 567341777=<>, 15601977=<>, 25368027=<>, 1365924662=<>},1420580402643
