{104227735==, 326821147==, 278093318==, 140080129==, 7867072==, 89787221==},1420574522643
{14192680==, 23354464==, 7867072==, 15111389==, 18964685=<>19  20, 89787221==},1420574582643
{7867072==, 12413892==, 73417273=<>-2  0, 27091328==, 89787221==, 12273252==},1420574642643
{384479689==, 23354464==, 183807568==, 7867072==, 27091328==, 89787221==},1420574702643
{384479689==, 183807568==, 7867072==, 11178672==, 27091328==, 89787221==},1420574762643
{38702668==, 384479689==, 7867072==, 11178672==, 27091328==, 89787221==},1420574822643
{384479689==, 7867072==, 21842357==, 11178672==, 27091328==, 12273252==},1420574882643
{14192680==, 21842357==, 7867072==, 174890917=<>20  22, 18964685=<>17  19, 976147104=<>-1  0},1420574942643
{14192680==, 384479689==, 7867072=<>-8  0, 174890917==, 73417273=<>-4  -2, 14811775=<>6  22},1420575002643
{1381345892=<>21  16, 384479689=<>-6  0, 174890917==, 27091328==, 89787221==, 12273252==},1420575062643
{1381345892==, 186222238=<>-35  0, 1051313198==, 11178672=<>-8  0, 27091328==, 89787221==},1420575122643
{1381345892==, 384479689==, 140080129=<>13  10, 12413892=<>-6  0, 27091328=<>24  18, 89787221=<>15  21},1420575182643
{14192680=<>-5  0, 278093318=<>-1  0, 140080129=<>16  13, 12413892==, 89787221==, 92733433=<>-12  0},1420575242643
{384479689==, 17604456=<>-24  0, 17070252=<>-36  0, 174890917=<>18  20, 12413892==, 27091328==},1420575302643
{1381345892==, 17604456==, 7867072==, 73417273=<>-8  -4, 18970044=<>-6  0, 12273252==},1420575362643
{202777395=<>-6  0, 278093318==, 20745130=<>-18  0, 140080129==, 1618007706=<>-9  0, 24773493==},1420575422643
{14192680==, 278093318==, 140080129==, 17070252=<>-45  -36, 174890917==, 89787221==},1420575482643
{278093318==, 140080129==, 7867072=<>-16  -8, 174890917==, 27091328==, 89787221==},1420575542643
{14787749=<>28  20, 189107456=<>-20  0, 140080129==, 73417273=<>-10  -8, 27091328==, 89787221==},1420575602643
{326821147=<>-4  0, 15445129=<>-8  0, 140080129=<>13  16, 73417273=<>-12  -10, 89787221==, 92733433=<>-16  -12},1420575662643
{23354464=<>-7  0, 69020299=<>17  21, 21044502=<>40  24, 140080129==, 73417273==, 27091328==},1420575722643
{278093318=<>-2  -1, 69020299==, 140080129==, 73417273==, 11178672=<>-16  -8, 89787221==},1420575782643
{384479689=<>-12  -6, 69020299==, 15601977=<>-6  0, 140080129==, 18964685=<>10  17, 27091328==},1420575842643
{21986815=<>-6  0, 69020299==, 140080129==, 7867072==, 27091328=<>30  24, 92733433=<>-20  -16},1420575902643
{69020299==, 140080129==, 11178672==, 27091328==, 92733433==, 89787221=<>9  15},1420575962643
{17698956=<>-5  0, 118292510=<>-57  7, 69020299=<>15  17, 15601977=<>-9  -6, 140080129=<>10  13, 12273252=<>-7  0},1420576022643
{118292510==, 202777395=<>-12  -6, 69020299==, 15601977==, 140080129==, 27091328==},1420576082643
{14192680=<>-10  -5, 1381345892=<>31  21, 278093318==, 69020299==, 140080129==, 174890917=<>14  18},1420576142643
{17698956=<>-10  -5, 23354464==, 69020299==, 15601977==, 27091328==, 12273252==},1420576202643
{14845376=<>-2  0, 384479689=<>-18  -12, 15601977==, 12413892=<>-12  -6, 27091328==, 15856366=<>-4  0},1420576262643
{1381345892=<>36  31, 27103822=<>-3  15, 69020299==, 140080129==, 12413892==, 27091328==},1420576322643
{8312862=<>38  20, 1381345892==, 17698956==, 69020299==, 12413892==, 44426926==},1420576382643
{278093318=<>-3  -2, 69020299==, 12413892=<>-18  -12, 50023090=<>44  12, 487535749=<>-14  0, 44426926==},1420576442643
{17698956==, 278093318==, 69020299==, 140080129=<>13  10, 12413892==, 8861752=<>-32  0},1420576502643
{824157=<>-16  0, 17698956==, 23354464==, 69020299=<>13  15, 818340=<>-6  0, 309220197=<>-4  0},1420576562643
{326821147=<>-8  -4, 69020299==, 21104725=<>-25  11, 44426926==, 27091328=<>24  30, 8861752==},1420576622643
{19200736=<>-36  0, 278093318==, 69020299==, 7867072=<>-32  -16, 26337145=<>10  16, 22948692=<>3  21},1420576682643
{17698956==, 278093318==, 69020299==, 24849868=<>-10  0, 140080129==, 818340=<>-9  -6},1420576742643
