p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
1,26,0.0,39,26.0,24.0,190.0,188.0 
1,34,0.0,41,34.0,31.0,284.0,281.0 
1,28,1.0,32,28.0,26.0,324.0,322.0 
3,24,0.0,30,24.0,23.0,336.0,335.0 
3,25,2.0,30,25.0,22.0,356.0,353.0 
6,25,3.0,32,25.0,22.0,368.0,365.0 
8,28,7.0,30,28.0,25.0,373.0,370.0 
8,23,7.0,27,23.0,20.0,375.0,372.0 
10,27,8.0,29,27.0,24.0,378.0,375.0 
8,29,6.0,31,29.0,26.0,377.0,374.0 
9,26,8.0,30,26.0,23.0,378.0,375.0 
9,24,7.0,30,24.0,22.0,377.0,375.0 
11,27,9.0,29,27.0,24.0,391.0,388.0 
15,22,12.0,27,22.0,20.0,387.0,385.0 
17,33,16.0,37,33.0,30.0,383.0,380.0 
21,36,19.0,39,36.0,33.0,381.0,378.0 
17,23,15.0,26,23.0,20.0,381.0,378.0 
15,21,14.0,22,21.0,18.0,379.0,376.0 
15,21,15.0,25,21.0,18.0,377.0,374.0 
13,24,13.0,26,24.0,21.0,385.0,382.0 
26,39,26.0,41,39.0,36.0,387.0,384.0 
26,36,23.0,40,36.0,33.0,386.0,383.0 
25,35,22.0,42,35.0,32.0,381.0,378.0 
22,31,22.0,32,31.0,28.0,382.0,379.0 
15,20,13.0,23,20.0,17.0,381.0,378.0 
13,18,11.0,21,18.0,16.0,378.0,376.0 
19,31,18.0,34,31.0,29.0,380.0,378.0 
25,34,23.0,36,34.0,31.0,383.0,380.0 
24,33,20.0,37,33.0,32.0,384.0,383.0 
22,35,21.0,38,35.0,33.0,389.0,387.0 
18,26,18.0,28,26.0,23.0,383.0,380.0 
16,23,15.0,25,23.0,20.0,378.0,375.0 
17,24,16.0,29,24.0,21.0,380.0,377.0 
17,27,15.0,27,27.0,24.0,380.0,377.0 
21,29,19.0,34,29.0,26.0,379.0,376.0 
21,28,21.0,32,28.0,25.0,384.0,381.0 
18,25,18.0,26,25.0,22.0,384.0,381.0 
20,29,18.0,32,29.0,26.0,385.0,382.0 
19,26,17.0,28,26.0,24.0,387.0,385.0 
22,35,22.0,38,35.0,32.0,389.0,386.0 
23,31,21.0,33,31.0,28.0,380.0,377.0 
16,23,13.0,27,23.0,21.0,385.0,383.0 
21,29,19.0,31,29.0,26.0,389.0,386.0 
21,28,20.0,30,28.0,25.0,386.0,383.0 
15,22,13.0,24,22.0,19.0,381.0,378.0 
19,27,18.0,30,27.0,24.0,386.0,383.0 
20,25,19.0,26,25.0,22.0,385.0,382.0 
17,24,17.0,25,24.0,21.0,385.0,382.0 
18,25,18.0,26,25.0,22.0,386.0,383.0 
18,27,16.0,29,27.0,24.0,387.0,384.0 
13,21,12.0,24,21.0,18.0,383.0,380.0 
20,28,19.0,31,28.0,25.0,383.0,380.0 
18,23,17.0,28,23.0,20.0,380.0,377.0 
17,19,13.0,23,19.0,16.0,379.0,376.0 
22,22,18.0,27,22.0,19.0,381.0,378.0 
29,34,28.0,38,34.0,31.0,378.0,375.0 
24,31,22.0,34,31.0,28.0,381.0,378.0 
23,31,20.0,33,31.0,28.0,388.0,385.0 
24,36,23.0,39,36.0,33.0,388.0,385.0 
27,37,25.0,39,37.0,34.0,387.0,384.0 
33,40,29.0,43,40.0,37.0,386.0,383.0 
33,38,30.0,42,38.0,35.0,385.0,382.0 
20,30,19.0,33,30.0,27.0,388.0,385.0 
20,27,18.0,30,27.0,24.0,388.0,385.0 
22,25,20.0,30,25.0,22.0,380.0,377.0 
22,29,19.0,33,29.0,26.0,383.0,380.0 
24,32,23.0,34,32.0,29.0,378.0,375.0 
19,29,19.0,30,29.0,26.0,379.0,376.0 
19,27,17.0,31,27.0,25.0,379.0,377.0 
23,29,21.0,32,29.0,26.0,375.0,372.0 
24,27,22.0,30,27.0,24.0,377.0,374.0 
16,18,14.0,22,18.0,15.0,376.0,373.0 
16,18,14.0,23,18.0,16.0,373.0,371.0 
19,23,17.0,28,23.0,20.0,378.0,375.0 
19,23,18.0,24,23.0,20.0,378.0,375.0 
24,27,23.0,31,27.0,24.0,370.0,367.0 
25,31,23.0,34,31.0,28.0,377.0,374.0 
27,34,27.0,36,34.0,31.0,379.0,376.0 
22,32,22.0,33,32.0,29.0,384.0,381.0 
26,33,24.0,36,33.0,30.0,381.0,378.0 
27,32,24.0,36,32.0,30.0,377.0,375.0 
22,31,21.0,32,31.0,28.0,381.0,378.0 
29,34,28.0,37,34.0,31.0,378.0,375.0 
26,34,25.0,37,34.0,31.0,378.0,375.0 
24,28,22.0,31,28.0,25.0,381.0,378.0 
23,27,22.0,32,27.0,24.0,377.0,374.0 
21,27,17.0,31,27.0,24.0,378.0,375.0 
26,36,24.0,38,36.0,34.0,379.0,377.0 
24,29,21.0,33,29.0,26.0,383.0,380.0 
26,32,23.0,35,32.0,29.0,375.0,372.0 
23,32,22.0,33,32.0,29.0,387.0,384.0 
