estimatedExpiredInML,updatePolicyHitRatioAccordingtoBudget,updatePolicyWindowHitRatio,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
0,0.6666666666666666,NaN,61,20.0,16.0,50.0,46.0 
0,0.6666666666666666,NaN,56,22.0,18.0,83.0,79.0 
0,0.6666666666666666,NaN,53,21.0,17.0,106.0,102.0 
0,0.5,NaN,47,20.0,17.0,111.0,108.0 
0,0.5,NaN,51,28.0,25.0,126.0,123.0 
0,0.6666666666666666,NaN,55,31.0,27.0,142.0,138.0 
0,0.3333333333333333,NaN,60,31.0,29.0,158.0,156.0 
0,0.6666666666666666,NaN,56,32.0,28.0,168.0,164.0 
0,0.5,NaN,46,29.0,26.0,174.0,171.0 
0,0.5,NaN,61,38.0,35.0,174.0,171.0 
0,1.0,NaN,76,46.0,40.0,186.0,180.0 
0,1.0,NaN,60,40.0,34.0,189.0,183.0 
0,0.8333333333333334,NaN,53,33.0,28.0,197.0,192.0 
0,0.6666666666666666,NaN,64,41.0,37.0,212.0,208.0 
0,0.8333333333333334,NaN,59,42.0,37.0,219.0,214.0 
0,0.6666666666666666,NaN,50,38.0,34.0,224.0,220.0 
0,0.6666666666666666,NaN,55,39.0,35.0,222.0,218.0 
0,0.5,NaN,57,43.0,40.0,224.0,221.0 
0,0.8333333333333334,NaN,58,44.0,39.0,232.0,227.0 
0,0.6666666666666666,NaN,55,39.0,35.0,237.0,233.0 
0,0.5,NaN,56,41.0,38.0,243.0,240.0 
0,0.6666666666666666,NaN,56,42.0,38.0,251.0,247.0 
0,0.6666666666666666,NaN,50,41.0,37.0,262.0,258.0 
0,0.5,NaN,52,43.0,40.0,263.0,260.0 
0,0.8333333333333334,NaN,52,42.0,37.0,266.0,261.0 
0,0.5,NaN,51,39.0,36.0,260.0,257.0 
0,0.16666666666666666,NaN,47,38.0,37.0,268.0,267.0 
0,0.6666666666666666,NaN,57,50.0,46.0,275.0,271.0 
0,0.8333333333333334,NaN,61,50.0,45.0,279.0,274.0 
0,0.6666666666666666,NaN,66,60.0,56.0,282.0,278.0 
0,0.5,NaN,61,52.0,49.0,285.0,282.0 
0,0.5,NaN,58,46.0,43.0,288.0,285.0 
0,0.6666666666666666,NaN,58,47.0,43.0,296.0,292.0 
0,0.3333333333333333,NaN,55,42.0,40.0,293.0,291.0 
0,0.8333333333333334,NaN,52,45.0,40.0,298.0,293.0 
0,0.8333333333333334,NaN,49,41.0,36.0,301.0,296.0 
0,0.8333333333333334,NaN,52,46.0,41.0,307.0,302.0 
0,1.0,NaN,57,52.0,46.0,311.0,305.0 
0,0.3333333333333333,NaN,64,51.0,49.0,307.0,305.0 
0,0.8333333333333334,NaN,63,54.0,49.0,311.0,306.0 
0,0.5,NaN,65,51.0,48.0,305.0,302.0 
0,0.5,NaN,63,48.0,45.0,311.0,308.0 
0,0.6666666666666666,NaN,58,45.0,41.0,316.0,312.0 
0,0.3333333333333333,NaN,59,47.0,45.0,316.0,314.0 
0,0.6666666666666666,NaN,61,52.0,48.0,319.0,315.0 
0,0.5,NaN,66,54.0,51.0,319.0,316.0 
0,0.5,NaN,68,59.0,56.0,321.0,318.0 
0,0.6666666666666666,NaN,62,54.0,50.0,325.0,321.0 
0,0.5,NaN,67,59.0,56.0,325.0,322.0 
0,0.8333333333333334,NaN,60,56.0,51.0,328.0,323.0 
