{140080129==, 8861752==, 17698956=<>},1420574522643
{140080129==, 8861752==, 17698956=<>},1420574582643
{278093318=<>, 183807568=<>, 1381345892==},1420574642643
{140080129=<>, 17698956=<>, 183807568==},1420574702643
{140080129==, 17698956=<>, 183807568==},1420574762643
{140080129==, 17698956=<>, 183807568==},1420574822643
{140080129==, 92733433==, 183807568=<>},1420574882643
{140080129=<>, 73417273==, 92733433==},1420574942643
{140080129=<>, 73417273==, 1618007706=<>},1420575002643
{73417273==, 8861752=<>, 1381345892=<>},1420575062643
{15520253=<>, 276554601=<>, 12413892=<>},1420575122643
{140080129=<>, 8861752==, 92733433=<>},1420575182643
{140080129==, 17604456=<>, 278093318=<>},1420575242643
{140080129==, 8861752=<>, 1381345892==},1420575302643
{140080129==, 73417273=<>, 278093318==},1420575362643
{140080129=<>, 278093318=<>, 309220197=<>},1420575422643
{140080129=<>, 309220197=<>, 276554601=<>},1420575482643
{140080129=<>, 73417273=<>, 278093318==},1420575542643
{140080129==, 278093318==, 92733433==},1420575602643
{140080129=<>, 309220197==, 17698956=<>},1420575662643
{140080129=<>, 8861752=<>, 17698956==},1420575722643
{140080129=<>, 17698956=<>, 1381345892=<>},1420575782643
{140080129==, 73417273=<>, 394078527=<>},1420575842643
{140080129=<>, 8861752=<>, 17698956=<>},1420575902643
{140080129==, 17698956=<>, 92733433=<>},1420575962643
{140080129=<>, 17698956==, 394078527=<>},1420576022643
{140080129=<>, 8861752=<>, 17698956=<>},1420576082643
{140080129==, 278093318=<>, 17698956==},1420576142643
{140080129=<>, 17698956=<>, 183807568=<>},1420576202643
{140080129==, 17698956=<>, 183807568=<>},1420576262643
{140080129=<>, 180026716=<>, 17698956=<>},1420576322643
{140080129==, 17698956=<>, 1381345892=<>},1420576382643
{140080129==, 17698956=<>, 92733433=<>},1420576442643
{140080129=<>, 8861752=<>, 17698956==},1420576502643
{140080129=<>, 309220197=<>, 17698956=<>},1420576562643
{309220197==, 278093318=<>, 17698956==},1420576622643
{140080129==, 22948692=<>, 92733433=<>},1420576682643
{140080129==, 8861752==, 17698956=<>},1420576742643
{140080129=<>, 17698956==, 183807568=<>},1420576802643
{140080129==, 17698956=<>, 183807568=<>},1420576862643
{140080129=<>, 12413892=<>, 24849868=<>},1420576922643
{140080129==, 17698956=<>, 24849868==},1420576982643
{8861752=<>, 17698956==, 394078527==},1420577042643
{140080129=<>, 24849868=<>, 1381345892=<>},1420577102643
{8861752==, 24849868==, 1381345892=<>},1420577162643
{17047743=<>, 17698956=<>, 24849868==},1420577222643
{17698956=<>, 24849868==, 1381345892==},1420577282643
{278093318=<>, 14192680=<>, 1381345892==},1420577342643
{73417273=<>, 22948692=<>, 1381345892==},1420577402643
{22948692==, 1618007706=<>, 8861752=<>},1420577462643
