estimatedExpiredInML,updatePolicyHitRatioAccordingtoBudget,updatePolicyWindowHitRatio,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
0,0.6666666666666666,NaN,61,20.0,16.0,50.0,46.0 
0,0.6666666666666666,NaN,56,22.0,18.0,83.0,79.0 
0,0.6666666666666666,NaN,53,21.0,17.0,106.0,102.0 
0,0.6666666666666666,NaN,47,20.0,16.0,111.0,107.0 
0,0.5,NaN,51,27.0,24.0,125.0,122.0 
0,0.8333333333333334,NaN,55,31.0,26.0,142.0,137.0 
0,0.5,NaN,60,31.0,28.0,158.0,155.0 
0,0.6666666666666666,NaN,56,32.0,28.0,168.0,164.0 
0,0.5,NaN,46,30.0,27.0,175.0,172.0 
0,0.5,NaN,61,39.0,36.0,176.0,173.0 
0,1.0,NaN,76,47.0,41.0,186.0,180.0 
0,0.8333333333333334,NaN,60,40.0,35.0,188.0,183.0 
0,0.6666666666666666,NaN,53,31.0,27.0,195.0,191.0 
0,0.8333333333333334,NaN,64,41.0,36.0,211.0,206.0 
0,1.0,NaN,59,43.0,37.0,220.0,214.0 
0,0.8333333333333334,NaN,50,37.0,32.0,223.0,218.0 
0,0.6666666666666666,NaN,55,37.0,33.0,220.0,216.0 
0,0.5,NaN,57,42.0,39.0,224.0,221.0 
0,0.8333333333333334,NaN,58,45.0,40.0,232.0,227.0 
0,0.8333333333333334,NaN,55,39.0,34.0,237.0,232.0 
0,0.5,NaN,56,41.0,38.0,243.0,240.0 
0,0.6666666666666666,NaN,56,43.0,39.0,252.0,248.0 
0,0.8333333333333334,NaN,50,42.0,37.0,263.0,258.0 
0,0.3333333333333333,NaN,52,41.0,39.0,261.0,259.0 
0,0.6666666666666666,NaN,52,41.0,37.0,265.0,261.0 
0,0.3333333333333333,NaN,51,39.0,37.0,261.0,259.0 
0,0.3333333333333333,NaN,47,39.0,37.0,270.0,268.0 
0,0.8333333333333334,NaN,57,50.0,45.0,275.0,270.0 
0,0.6666666666666666,NaN,61,51.0,47.0,279.0,275.0 
0,0.5,NaN,66,59.0,56.0,281.0,278.0 
0,0.6666666666666666,NaN,61,52.0,48.0,285.0,281.0 
0,0.5,NaN,58,45.0,42.0,287.0,284.0 
0,0.8333333333333334,NaN,58,46.0,41.0,295.0,290.0 
0,0.3333333333333333,NaN,55,40.0,38.0,291.0,289.0 
0,0.6666666666666666,NaN,52,44.0,40.0,297.0,293.0 
0,0.6666666666666666,NaN,49,41.0,37.0,301.0,297.0 
0,0.8333333333333334,NaN,52,46.0,41.0,307.0,302.0 
0,1.0,NaN,57,50.0,44.0,309.0,303.0 
0,0.5,NaN,64,52.0,49.0,307.0,304.0 
0,1.0,NaN,63,54.0,48.0,310.0,304.0 
0,0.3333333333333333,NaN,65,49.0,47.0,304.0,302.0 
0,0.5,NaN,63,48.0,45.0,311.0,308.0 
0,0.6666666666666666,NaN,58,43.0,39.0,314.0,310.0 
0,0.5,NaN,59,47.0,44.0,314.0,311.0 
0,0.5,NaN,61,51.0,48.0,316.0,313.0 
0,0.5,NaN,66,53.0,50.0,318.0,315.0 
0,0.3333333333333333,NaN,68,58.0,56.0,320.0,318.0 
0,0.6666666666666666,NaN,62,55.0,51.0,325.0,321.0 
0,0.8333333333333334,NaN,67,60.0,55.0,326.0,321.0 
0,0.8333333333333334,NaN,60,55.0,50.0,327.0,322.0 
