{140080129==, 8312862=<>, 73417273==, 278093318==, 8861752==, 12413892=<>, 824157==, 17698956=<>, 14192680==, 1381345892==},1420574522643
{140080129==, 8312862==, 73417273==, 278093318==, 8861752==, 12413892==, 17698956=<>, 12273252==, 14192680==, 1381345892==},1420574582643
{15520253=<>, 73417273==, 278093318=<>, 976147104==, 89787221==, 487535749==, 12413892==, 14192680==, 183807568=<>, 1381345892==},1420574642643
{140080129=<>, 15520253==, 73417273==, 278093318==, 8861752==, 12413892==, 17698956=<>, 92733433=<>, 183807568==, 1381345892==},1420574702643
{140080129==, 73417273==, 17604456=<>, 278093318==, 1618007706==, 8861752=<>, 17698956=<>, 38702668=<>, 92733433==, 183807568==},1420574762643
{140080129==, 186222238=<>, 73417273==, 278093318==, 309220197=<>, 21842357==, 17698956=<>, 92733433==, 183807568==, 1381345892=<>},1420574822643
{140080129==, 18725415=<>, 17070252==, 1618007706=<>, 976147104==, 12413892=<>, 12273252=<>, 14192680=<>, 92733433=<>, 183807568=<>},1420574882643
{140080129=<>, 73417273==, 1618007706=<>, 12413892==, 21796484=<>, 7867072=<>, 14192680==, 38702668=<>, 92733433==, 14845376=<>},1420574942643
{140080129=<>, 189107456==, 73417273==, 1618007706==, 976147104==, 89787221==, 12413892==, 12273252=<>, 14192680==, 92733433==},1420575002643
{384479689==, 73417273==, 24705687=<>, 34541677==, 8861752==, 12413892==, 824157=<>, 14192680==, 92733433=<>, 1381345892=<>},1420575062643
{186222238==, 15520253==, 16621805=<>, 276554601=<>, 89787221==, 8861752==, 12413892=<>, 46358463=<>, 12273252=<>, 1381345892==},1420575122643
{140080129=<>, 27103822=<>, 1618007706==, 276554601=<>, 8861752==, 12413892==, 824157==, 12273252==, 92733433==, 1381345892==},1420575182643
{140080129==, 15520253=<>, 17604456=<>, 17070252==, 278093318=<>, 1618007706==, 12413892==, 12273252==, 14192680=<>, 92733433==},1420575242643
{140080129==, 16262688==, 73417273=<>, 278093318==, 8861752=<>, 12413892==, 21842357=<>, 14192680==, 92733433==, 1381345892==},1420575302643
{140080129==, 8312862=<>, 73417273==, 278093318==, 1618007706==, 8861752==, 12413892==, 824157=<>, 14192680==, 1381345892==},1420575362643
{140080129=<>, 73417273=<>, 278093318=<>, 309220197=<>, 1618007706==, 89787221==, 487535749==, 8861752==, 7867072==, 1381345892==},1420575422643
{140080129=<>, 17070252==, 278093318==, 309220197=<>, 23973187==, 1618007706==, 276554601=<>, 14192680=<>, 92733433==, 23742474=<>},1420575482643
{384479689==, 140080129=<>, 189107456=<>, 73417273=<>, 278093318==, 1618007706==, 89787221==, 12413892==, 14192680==, 12273252=<>},1420575542643
{140080129==, 50023090=<>, 73417273=<>, 278093318==, 34541677==, 1618007706=<>, 12413892==, 4380591==, 12273252=<>, 92733433==},1420575602643
{140080129=<>, 23354464=<>, 73417273==, 309220197==, 89787221=<>, 8861752=<>, 17698956=<>, 12273252==, 92733433==, 10069612=<>},1420575662643
{140080129=<>, 278093318==, 309220197==, 1618007706=<>, 976147104=<>, 8861752==, 824157=<>, 17698956==, 24849868=<>, 92733433=<>},1420575722643
{140080129=<>, 15836048=<>, 73417273==, 278093318=<>, 976147104=<>, 1618007706==, 17698956=<>, 15787325=<>, 24849868==, 1381345892=<>},1420575782643
{525187154=<>, 140080129==, 73417273==, 278093318==, 487535749=<>, 12413892=<>, 394078527=<>, 92733433=<>, 183807568=<>, 1381345892==},1420575842643
{140080129=<>, 27103822==, 17070252==, 276554601=<>, 8861752=<>, 7867072=<>, 17698956=<>, 12273252=<>, 92733433==, 14845376=<>},1420575902643
{140080129==, 16262688=<>, 73417273==, 278093318=<>, 89787221=<>, 8861752=<>, 17698956=<>, 394078527=<>, 12273252==, 92733433=<>},1420575962643
{140080129=<>, 8312862==, 278093318==, 20745130==, 21796484=<>, 17698956==, 394078527==, 12273252==, 92733433==, 14845376=<>},1420576022643
{34409159=<>, 140080129=<>, 278093318==, 8861752==, 21842357==, 12413892==, 17698956=<>, 24849868=<>, 92733433==, 14845376==},1420576082643
{140080129==, 278093318==, 276554601==, 8861752==, 12413892==, 17698956==, 24206345==, 14192680=<>, 92733433==, 1381345892==},1420576142643
{140080129=<>, 278093318==, 276554601==, 8861752==, 17698956=<>, 394078527==, 12273252=<>, 92733433==, 183807568==, 1381345892==},1420576202643
{140080129==, 27103822==, 180026716=<>, 8312862=<>, 12413892=<>, 17698956=<>, 394078527==, 92733433=<>, 183807568=<>, 14845376=<>},1420576262643
{140080129=<>, 180026716==, 17070252=<>, 278093318=<>, 12413892==, 7867072==, 17698956=<>, 92733433=<>, 1381345892=<>, 14845376==},1420576322643
{140080129==, 8312862==, 12413892==, 17698956=<>, 97175299=<>, 38702668=<>, 14192680=<>, 92733433==, 44426926=<>, 1381345892==},1420576382643
{525187154=<>, 140080129==, 73417273=<>, 278093318==, 8861752=<>, 12413892=<>, 17698956=<>, 14192680=<>, 92733433==, 14845376==},1420576442643
{140080129=<>, 278093318==, 976147104=<>, 8861752==, 12413892==, 17698956==, 326821147=<>, 14192680==, 92733433==, 183807568=<>},1420576502643
{140080129=<>, 15520253==, 278093318==, 309220197=<>, 8861752==, 824157=<>, 17698956=<>, 12273252=<>, 92733433==, 183807568==},1420576562643
{17604456=<>, 278093318==, 309220197==, 1618007706=<>, 487535749=<>, 8861752==, 12413892==, 17698956==, 394078527==, 92733433=<>},1420576622643
{140080129==, 22948692=<>, 17604456==, 278093318=<>, 1618007706==, 8861752==, 7867072==, 188077169=<>, 12273252==, 92733433==},1420576682643
{525187154==, 140080129==, 22948692==, 278093318==, 1618007706==, 89787221=<>, 8861752==, 17698956=<>, 24849868==, 394078527=<>},1420576742643
{525187154==, 140080129=<>, 278093318=<>, 8861752=<>, 824157==, 17698956==, 24849868=<>, 394078527==, 183807568=<>, 1381345892=<>},1420576802643
{384479689=<>, 140080129==, 73417273=<>, 8861752==, 17698956=<>, 24849868==, 12273252==, 14192680==, 183807568=<>, 44426926=<>},1420576862643
{140080129=<>, 34541677=<>, 1618007706==, 12413892=<>, 188077169==, 24849868=<>, 394078527=<>, 326821147==, 14192680==, 1381345892==},1420576922643
{140080129==, 1618007706==, 89787221=<>, 12413892==, 824157=<>, 17698956=<>, 24849868==, 394078527==, 14192680==, 1381345892==},1420576982643
{186222238=<>, 17604456==, 1618007706==, 8861752=<>, 7867072==, 17698956==, 394078527==, 14192680==, 12273252=<>, 14845376=<>},1420577042643
{140080129=<>, 22990521=<>, 73417273==, 278093318==, 1618007706==, 276554601=<>, 8861752==, 12413892==, 24849868=<>, 1381345892==},1420577102643
{73417273==, 17070252==, 278093318==, 89787221==, 8861752==, 12413892==, 24849868==, 14192680=<>, 1381345892=<>, 14845376==},1420577162643
{17047743=<>, 73417273==, 1618007706==, 188077169==, 17698956=<>, 24849868==, 24206345=<>, 14192680==, 1381345892==, 226606138==},1420577222643
{16262688=<>, 278093318==, 108039570==, 824157==, 17698956=<>, 24849868==, 14192680=<>, 44426926=<>, 1381345892==, 14845376==},1420577282643
{18725415=<>, 119538278=<>, 278093318=<>, 976147104=<>, 1618007706=<>, 109013694=<>, 14192680==, 1381345892==, 226606138==, 14845376==},1420577342643
{384479689==, 15520253=<>, 73417273=<>, 22948692=<>, 119538278=<>, 278093318==, 14192680==, 12273252=<>, 1381345892==, 14845376==},1420577402643
{15520253==, 73417273==, 22948692==, 1618007706==, 89787221=<>, 8861752=<>, 12273252==, 14192680==, 326821147=<>, 14845376=<>},1420577462643
