p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
0,4,0.0,39,4.0,4.0,22.0,22.0 
1,8,1.0,43,8.0,7.0,41.0,40.0 
0,10,0.0,30,10.0,10.0,49.0,49.0 
0,10,0.0,26,10.0,9.0,64.0,63.0 
1,15,0.0,34,15.0,15.0,85.0,85.0 
2,12,1.0,35,12.0,11.0,98.0,97.0 
2,10,1.0,27,10.0,9.0,106.0,105.0 
3,13,2.0,30,13.0,11.0,113.0,111.0 
3,18,1.0,32,18.0,17.0,122.0,121.0 
3,20,1.0,32,20.0,19.0,128.0,127.0 
3,17,1.0,27,17.0,16.0,137.0,136.0 
1,16,0.0,26,16.0,14.0,141.0,139.0 
5,18,0.0,37,18.0,18.0,147.0,147.0 
6,20,3.0,38,20.0,18.0,159.0,157.0 
6,18,4.0,27,18.0,16.0,169.0,167.0 
3,15,2.0,23,15.0,13.0,169.0,167.0 
2,17,2.0,27,17.0,14.0,175.0,172.0 
4,22,2.0,40,22.0,21.0,172.0,171.0 
4,22,1.0,40,22.0,21.0,176.0,175.0 
4,18,0.0,39,18.0,18.0,178.0,178.0 
3,13,1.0,26,13.0,12.0,179.0,178.0 
2,15,0.0,26,15.0,15.0,183.0,183.0 
3,18,1.0,33,18.0,17.0,188.0,187.0 
4,27,2.0,41,27.0,25.0,197.0,195.0 
5,26,2.0,37,26.0,25.0,202.0,201.0 
3,21,1.0,35,21.0,20.0,209.0,208.0 
2,23,1.0,27,23.0,21.0,216.0,214.0 
3,24,2.0,29,24.0,22.0,220.0,218.0 
5,22,2.0,29,22.0,21.0,220.0,219.0 
7,24,0.0,36,24.0,24.0,218.0,218.0 
5,23,1.0,32,23.0,23.0,223.0,223.0 
5,18,2.0,24,18.0,18.0,223.0,223.0 
7,24,3.0,31,24.0,23.0,225.0,224.0 
5,21,1.0,33,21.0,20.0,229.0,228.0 
5,19,0.0,34,19.0,19.0,234.0,234.0 
5,22,2.0,28,22.0,21.0,237.0,236.0 
5,22,3.0,31,22.0,20.0,245.0,243.0 
5,23,3.0,29,23.0,21.0,250.0,248.0 
3,22,2.0,27,22.0,20.0,251.0,249.0 
5,23,3.0,28,23.0,22.0,254.0,253.0 
4,18,1.0,26,18.0,17.0,257.0,256.0 
2,18,0.0,23,18.0,18.0,257.0,257.0 
4,21,0.0,29,21.0,21.0,260.0,260.0 
3,18,0.0,27,18.0,18.0,258.0,258.0 
6,24,2.0,33,24.0,24.0,262.0,262.0 
6,20,4.0,26,20.0,18.0,262.0,260.0 
5,20,3.0,24,20.0,18.0,271.0,269.0 
6,29,2.0,35,29.0,28.0,270.0,269.0 
4,28,1.0,34,28.0,28.0,273.0,273.0 
4,27,1.0,35,27.0,27.0,277.0,277.0 
5,30,2.0,35,30.0,30.0,280.0,280.0 
6,35,4.0,38,35.0,34.0,283.0,282.0 
5,35,3.0,40,35.0,34.0,284.0,283.0 
5,29,4.0,31,29.0,26.0,288.0,285.0 
4,25,2.0,30,25.0,24.0,288.0,287.0 
6,29,4.0,34,29.0,27.0,292.0,290.0 
3,24,1.0,29,24.0,23.0,292.0,291.0 
3,24,1.0,32,24.0,23.0,294.0,293.0 
4,22,1.0,29,22.0,21.0,294.0,293.0 
5,30,3.0,34,30.0,29.0,296.0,295.0 
