p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
1,1,1.0,39,4.0,3.0,22.0,21.0 
1,1,1.0,41,8.0,7.0,40.0,39.0 
3,3,3.0,32,8.0,6.0,47.0,45.0 
2,2,2.0,30,9.0,7.0,48.0,46.0 
0,0,0.0,30,8.0,8.0,60.0,60.0 
4,4,4.0,32,12.0,10.0,82.0,80.0 
4,4,4.0,30,12.0,10.0,98.0,96.0 
5,5,5.0,27,12.0,10.0,104.0,102.0 
5,5,5.0,29,13.0,11.0,113.0,111.0 
4,3,3.0,31,14.0,12.0,117.0,115.0 
1,1,1.0,30,15.0,14.0,123.0,122.0 
3,2,2.0,30,13.0,11.0,131.0,129.0 
3,2,2.0,29,12.0,10.0,136.0,134.0 
2,1,1.0,27,12.0,11.0,141.0,140.0 
2,2,2.0,37,16.0,14.0,142.0,140.0 
3,3,3.0,39,18.0,16.0,150.0,148.0 
2,2,2.0,26,13.0,11.0,152.0,150.0 
1,1,1.0,22,13.0,12.0,157.0,156.0 
2,2,2.0,25,14.0,12.0,159.0,157.0 
1,1,1.0,26,12.0,11.0,164.0,163.0 
6,6,6.0,41,21.0,19.0,168.0,166.0 
6,6,6.0,40,23.0,21.0,172.0,170.0 
5,4,4.0,42,19.0,17.0,174.0,172.0 
4,3,3.0,32,16.0,14.0,173.0,171.0 
2,2,2.0,23,12.0,10.0,178.0,176.0 
2,2,2.0,21,10.0,8.0,179.0,177.0 
3,3,3.0,34,17.0,15.0,180.0,178.0 
1,0,0.0,36,17.0,17.0,184.0,184.0 
4,4,4.0,37,23.0,21.0,193.0,191.0 
9,7,7.0,38,20.0,18.0,201.0,199.0 
6,4,4.0,28,14.0,12.0,206.0,204.0 
3,3,3.0,25,15.0,13.0,206.0,204.0 
2,2,2.0,29,20.0,18.0,210.0,208.0 
2,2,2.0,27,18.0,16.0,209.0,207.0 
3,3,3.0,34,24.0,22.0,207.0,205.0 
3,3,3.0,32,22.0,20.0,214.0,212.0 
1,1,1.0,26,15.0,14.0,212.0,211.0 
1,1,1.0,32,21.0,20.0,214.0,213.0 
2,2,2.0,28,20.0,18.0,219.0,217.0 
4,4,4.0,38,22.0,20.0,224.0,222.0 
4,4,4.0,33,20.0,18.0,224.0,222.0 
0,0,0.0,27,19.0,19.0,227.0,227.0 
5,5,5.0,31,22.0,20.0,233.0,231.0 
5,5,5.0,30,21.0,19.0,239.0,237.0 
4,4,4.0,24,20.0,18.0,237.0,235.0 
6,4,4.0,30,21.0,20.0,239.0,238.0 
5,4,4.0,26,20.0,18.0,241.0,239.0 
3,2,2.0,25,18.0,16.0,242.0,240.0 
2,0,0.0,26,17.0,17.0,242.0,242.0 
1,1,1.0,29,21.0,20.0,246.0,245.0 
5,4,4.0,24,15.0,14.0,246.0,245.0 
4,4,4.0,31,22.0,20.0,248.0,246.0 
5,5,5.0,28,22.0,20.0,250.0,248.0 
3,3,3.0,23,17.0,15.0,249.0,247.0 
5,4,4.0,27,24.0,22.0,259.0,257.0 
9,9,9.0,38,29.0,27.0,258.0,256.0 
