p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
4,4,4.0,39,4.0,1.0,22.0,19.0 
7,7,7.0,41,7.0,4.0,39.0,36.0 
6,6,6.0,32,6.0,3.0,44.0,41.0 
6,6,6.0,30,6.0,3.0,44.0,41.0 
9,9,9.0,30,9.0,6.0,58.0,55.0 
12,12,12.0,32,12.0,9.0,79.0,76.0 
13,11,11.0,30,11.0,10.0,93.0,92.0 
12,12,12.0,27,12.0,9.0,103.0,100.0 
15,14,14.0,29,14.0,11.0,112.0,109.0 
17,15,15.0,31,15.0,12.0,115.0,112.0 
17,15,15.0,30,15.0,12.0,120.0,117.0 
15,12,12.0,30,12.0,9.0,127.0,124.0 
17,13,13.0,29,13.0,11.0,130.0,128.0 
14,11,11.0,27,11.0,9.0,137.0,135.0 
18,17,17.0,37,17.0,14.0,139.0,136.0 
19,16,16.0,39,16.0,14.0,146.0,144.0 
14,12,12.0,26,12.0,10.0,152.0,150.0 
13,12,12.0,22,12.0,9.0,155.0,152.0 
14,12,12.0,25,12.0,9.0,155.0,152.0 
15,12,12.0,26,12.0,9.0,161.0,158.0 
25,20,20.0,41,20.0,18.0,160.0,158.0 
29,23,23.0,40,23.0,20.0,170.0,167.0 
29,24,24.0,42,24.0,21.0,170.0,167.0 
21,19,19.0,32,19.0,16.0,168.0,165.0 
18,14,14.0,23,14.0,11.0,172.0,169.0 
15,13,13.0,21,13.0,11.0,174.0,172.0 
22,20,20.0,34,20.0,18.0,175.0,173.0 
25,21,21.0,36,21.0,20.0,181.0,180.0 
26,24,24.0,37,24.0,21.0,189.0,186.0 
25,23,23.0,38,23.0,20.0,193.0,190.0 
19,17,17.0,28,17.0,14.0,200.0,197.0 
21,20,20.0,25,20.0,17.0,201.0,198.0 
22,21,21.0,29,21.0,18.0,206.0,203.0 
21,19,19.0,27,19.0,16.0,204.0,201.0 
26,25,25.0,34,25.0,22.0,202.0,199.0 
20,19,19.0,32,19.0,16.0,206.0,203.0 
20,17,17.0,26,17.0,15.0,206.0,204.0 
22,22,22.0,32,22.0,19.0,207.0,204.0 
20,18,18.0,28,18.0,15.0,210.0,207.0 
23,22,22.0,38,22.0,19.0,214.0,211.0 
22,22,22.0,33,22.0,19.0,213.0,210.0 
20,20,20.0,27,20.0,17.0,216.0,213.0 
22,21,21.0,31,21.0,19.0,219.0,217.0 
24,24,24.0,30,24.0,21.0,224.0,221.0 
20,20,20.0,24,20.0,17.0,222.0,219.0 
21,20,20.0,30,20.0,18.0,223.0,221.0 
21,21,21.0,26,21.0,18.0,229.0,226.0 
18,17,17.0,25,17.0,15.0,235.0,233.0 
19,17,17.0,26,17.0,14.0,233.0,230.0 
23,21,21.0,29,21.0,18.0,240.0,237.0 
18,16,16.0,24,16.0,13.0,238.0,235.0 
23,22,22.0,31,22.0,19.0,242.0,239.0 
20,18,18.0,28,18.0,15.0,237.0,234.0 
19,16,16.0,23,16.0,14.0,239.0,237.0 
22,21,21.0,27,21.0,18.0,248.0,245.0 
31,28,28.0,38,28.0,25.0,245.0,242.0 
26,22,22.0,34,22.0,20.0,245.0,243.0 
24,21,21.0,33,21.0,19.0,249.0,247.0 
28,24,24.0,39,24.0,21.0,251.0,248.0 
32,30,30.0,39,30.0,27.0,249.0,246.0 
34,32,32.0,43,32.0,29.0,249.0,246.0 
32,28,28.0,42,28.0,26.0,247.0,245.0 
21,19,19.0,33,19.0,16.0,246.0,243.0 
20,19,19.0,30,19.0,17.0,247.0,245.0 
23,22,22.0,30,22.0,19.0,253.0,250.0 
25,23,23.0,33,23.0,21.0,258.0,256.0 
26,24,24.0,34,24.0,23.0,260.0,259.0 
19,18,18.0,30,18.0,15.0,261.0,258.0 
22,21,21.0,31,21.0,19.0,265.0,263.0 
25,24,24.0,32,24.0,22.0,268.0,266.0 
23,22,22.0,30,22.0,19.0,272.0,269.0 
18,17,17.0,22,17.0,14.0,275.0,272.0 
15,15,15.0,23,15.0,12.0,272.0,269.0 
15,13,13.0,28,13.0,11.0,271.0,269.0 
12,12,12.0,24,12.0,9.0,268.0,265.0 
18,16,16.0,31,16.0,13.0,262.0,259.0 
23,19,19.0,34,19.0,16.0,259.0,256.0 
23,19,19.0,36,19.0,16.0,264.0,261.0 
23,21,21.0,33,21.0,19.0,268.0,266.0 
22,21,21.0,36,21.0,18.0,268.0,265.0 
24,22,22.0,36,22.0,19.0,268.0,265.0 
21,18,18.0,32,18.0,16.0,267.0,265.0 
29,27,27.0,37,27.0,25.0,267.0,265.0 
24,22,22.0,37,22.0,19.0,271.0,268.0 
24,20,20.0,31,20.0,17.0,270.0,267.0 
22,17,17.0,32,17.0,15.0,269.0,267.0 
22,20,20.0,31,20.0,17.0,269.0,266.0 
28,23,23.0,38,23.0,22.0,272.0,271.0 
22,17,17.0,33,17.0,15.0,272.0,270.0 
23,19,19.0,35,19.0,16.0,273.0,270.0 
21,19,19.0,33,19.0,17.0,273.0,271.0 
25,23,23.0,34,23.0,20.0,275.0,272.0 
26,22,22.0,35,22.0,19.0,275.0,272.0 
29,24,24.0,39,24.0,21.0,271.0,268.0 
27,23,23.0,35,23.0,21.0,274.0,272.0 
26,22,22.0,36,22.0,20.0,279.0,277.0 
23,20,20.0,36,20.0,17.0,274.0,271.0 
24,22,22.0,33,22.0,19.0,274.0,271.0 
33,28,28.0,40,28.0,25.0,277.0,274.0 
31,30,30.0,38,30.0,27.0,280.0,277.0 
24,23,23.0,30,23.0,20.0,280.0,277.0 
16,16,16.0,26,16.0,13.0,277.0,274.0 
22,22,22.0,31,22.0,19.0,283.0,280.0 
23,22,22.0,30,22.0,19.0,281.0,278.0 
22,20,20.0,26,20.0,17.0,283.0,280.0 
21,20,20.0,26,20.0,17.0,281.0,278.0 
22,22,22.0,30,22.0,19.0,276.0,273.0 
25,22,22.0,32,22.0,20.0,278.0,276.0 
21,20,20.0,26,20.0,17.0,283.0,280.0 
22,20,20.0,30,20.0,18.0,284.0,282.0 
19,17,17.0,25,17.0,14.0,282.0,279.0 
25,23,23.0,31,23.0,20.0,282.0,279.0 
17,13,13.0,26,13.0,11.0,279.0,277.0 
20,16,16.0,26,16.0,14.0,281.0,279.0 
26,25,25.0,33,25.0,22.0,282.0,279.0 
19,16,16.0,27,16.0,13.0,283.0,280.0 
15,13,13.0,24,13.0,10.0,282.0,279.0 
22,22,22.0,34,22.0,19.0,282.0,279.0 
26,24,24.0,33,24.0,21.0,280.0,277.0 
33,29,29.0,41,29.0,27.0,279.0,277.0 
29,25,25.0,34,25.0,22.0,278.0,275.0 
24,20,20.0,30,20.0,18.0,279.0,277.0 
29,26,26.0,33,26.0,23.0,281.0,278.0 
27,23,23.0,35,23.0,22.0,285.0,284.0 
22,20,20.0,29,20.0,17.0,286.0,283.0 
22,19,19.0,32,19.0,16.0,281.0,278.0 
17,15,15.0,26,15.0,13.0,281.0,279.0 
21,20,20.0,30,20.0,17.0,282.0,279.0 
25,21,21.0,35,21.0,19.0,278.0,276.0 
27,24,24.0,32,24.0,21.0,280.0,277.0 
28,24,24.0,34,24.0,22.0,283.0,281.0 
27,24,24.0,35,24.0,21.0,283.0,280.0 
23,22,22.0,30,22.0,19.0,283.0,280.0 
24,23,23.0,30,23.0,20.0,282.0,279.0 
28,26,26.0,37,26.0,24.0,281.0,279.0 
33,30,30.0,40,30.0,27.0,282.0,279.0 
27,24,24.0,36,24.0,21.0,281.0,278.0 
27,24,24.0,36,24.0,21.0,278.0,275.0 
26,23,23.0,32,23.0,22.0,277.0,276.0 
32,29,29.0,37,29.0,26.0,276.0,273.0 
34,31,31.0,41,31.0,28.0,274.0,271.0 
24,19,19.0,31,19.0,16.0,277.0,274.0 
23,17,17.0,29,17.0,15.0,272.0,270.0 
27,24,24.0,33,24.0,21.0,276.0,273.0 
23,18,18.0,31,18.0,17.0,273.0,272.0 
22,17,17.0,31,17.0,14.0,272.0,269.0 
26,20,20.0,36,20.0,18.0,269.0,267.0 
32,26,26.0,39,26.0,23.0,270.0,267.0 
29,22,22.0,37,22.0,20.0,271.0,269.0 
31,25,25.0,39,25.0,22.0,273.0,270.0 
