{33491215=<>, 808721557=<>, 23354464=<>, 174890917=<>, 20096207=<>, 61292961=<>, 107654081=<>, 8861752=<>, 90714989=<>, 17472921=<>, 23742474=<>, 149157068=<>, 532171645=<>, 15520253=<>, 8312862=<>, 487535749=<>, 104227735=<>, 27091328=<>, 21986815=<>, 472207757=<>},1420574622643
{114872969=<>, 128044351=<>, 33491215=<>, 23354464=<>, 15111389=<>, 20745130=<>, 1618007706=<>, 8861752=<>, 107654081=<>, 17472921=<>, 90714989=<>, 7867072=<>, 23779501=<>, 1381345892=<>, 15520253=<>, 487535749=<>, 104227735=<>, 27091328=<>, 36440780=<>, 395194959==},1420574742643
{189107456=<>, 33491215=<>, 259637983=<>, 23354464=<>, 15111389=<>, 174890917=<>, 309220197=<>, 23973187=<>, 8861752=<>, 17472921=<>, 7867072=<>, 23779501=<>, 1381345892=<>, 325220198=<>, 25368027=<>, 976147104=<>, 21842357=<>, 27091328=<>, 36440780=<>, 38702668=<>},1420574862643
{18964685=<>, 189107456=<>, 23354464=<>, 259637983=<>, 174890917=<>, 1618007706=<>, 23973187=<>, 7867072=<>, 183807568=<>, 14845376=<>, 325220198=<>, 15601977=<>, 15920875=<>, 16621805=<>, 34541677=<>, 25368027=<>, 21842357=<>, 27091328=<>, 12273252=<>, 38702668=<>},1420574982643
{189107456=<>, 11178672=<>, 23354464=<>, 24705687=<>, 276554601=<>, 1618007706=<>, 174083824=<>, 195897346=<>, 7867072=<>, 14811775=<>, 384479689=<>, 73417273=<>, 16621805=<>, 15920875=<>, 34541677=<>, 1051313198=<>, 21842357=<>, 12273252=<>, 326821147=<>, 92733433=<>},1420575102643
{174890917=<>, 1618007706=<>, 23973187=<>, 61292961=<>, 174083824=<>, 8861752=<>, 17472921=<>, 7867072=<>, 18971670=<>, 1381345892=<>, 12794362=<>, 15520253=<>, 15601977=<>, 16621805=<>, 34541677=<>, 16220541=<>, 46358463=<>, 217588851=<>, 27091328=<>, 21986815=<>},1420575222643
{89316412=<>, 174890917=<>, 8861752=<>, 17472921=<>, 7867072=<>, 20660146=<>, 18970044=<>, 23742474=<>, 18971670=<>, 1381345892=<>, 15520253=<>, 8312862=<>, 15601977=<>, 21842357=<>, 27091328=<>, 217588851=<>, 166715703=<>, 326821147=<>, 12273252=<>, 21986815=<>},1420575342643
{18964685=<>, 23354464=<>, 174890917=<>, 309220197=<>, 23973187=<>, 17810599=<>, 8861752=<>, 17472921=<>, 7867072=<>, 18970044=<>, 23742474=<>, 1381345892=<>, 14845376=<>, 15601977=<>, 8312862=<>, 16220541=<>, 25368027=<>, 487535749=<>, 27091328=<>, 21986815=<>},1420575462643
{189107456=<>, 11178672=<>, 23354464=<>, 309220197=<>, 174890917=<>, 1618007706=<>, 20745130=<>, 23973187=<>, 61292961=<>, 7867072=<>, 23742474=<>, 50023090=<>, 15601977=<>, 34541677=<>, 16220541=<>, 25368027=<>, 15445129=<>, 27091328=<>, 12273252=<>, 21986815=<>},1420575582643
{89316412=<>, 512403075=<>, 259637983=<>, 23354464=<>, 174890917=<>, 309220197=<>, 61292961=<>, 8861752=<>, 17472921=<>, 1566741842=<>, 555359654=<>, 14845376=<>, 21044502=<>, 50023090=<>, 193232854=<>, 25368027=<>, 104227735=<>, 15445129=<>, 27091328=<>, 24849868=<>},1420575702643
{11178672=<>, 1618007706=<>, 7867072=<>, 14811775=<>, 28319608=<>, 14745100=<>, 384479689=<>, 525187154=<>, 15836048=<>, 73417273=<>, 278093318=<>, 44682474=<>, 34541677=<>, 89787221=<>, 12413892=<>, 394078527=<>, 92733433=<>, 326821147=<>, 12273252=<>, 69020299=<>},1420575822643
{114872969=<>, 23354464=<>, 24177962=<>, 8861752=<>, 7867072=<>, 15484266=<>, 17965433=<>, 1381345892=<>, 14845376=<>, 22192440=<>, 8923182=<>, 17348724=<>, 15601977=<>, 25368027=<>, 487535749=<>, 27091328=<>, 166715703=<>, 12273252=<>, 326821147=<>, 21986815=<>},1420575942643
{34409159=<>, 11178672=<>, 567341777=<>, 23354464=<>, 20745130=<>, 292289403=<>, 24773493=<>, 8861752=<>, 7867072=<>, 8923182=<>, 14845376=<>, 17348724=<>, 16785615=<>, 8312862=<>, 15601977=<>, 21842357=<>, 27091328=<>, 394078527=<>, 275665487=<>, 21986815=<>},1420576062643
{34409159=<>, 114872969=<>, 23354464=<>, 174890917=<>, 17810599=<>, 8861752=<>, 1381345892=<>, 14845376=<>, 8923182=<>, 123576946=<>, 16785615=<>, 15601977=<>, 140140890=<>, 21842357=<>, 104227735=<>, 27091328=<>, 24849868=<>, 36440780=<>, 203020760=<>, 472207757=<>},1420576182643
{114872969=<>, 23354464=<>, 174890917=<>, 17810599=<>, 8861752=<>, 183807568=<>, 1381345892=<>, 14845376=<>, 22192440=<>, 123576946=<>, 16785615=<>, 15601977=<>, 8312862=<>, 193232854=<>, 104227735=<>, 27091328=<>, 166715703=<>, 36440780=<>, 203020760=<>, 472207757=<>},1420576302643
{130600206=<>, 20096207=<>, 8861752=<>, 17810599=<>, 7867072=<>, 199358175=<>, 23742474=<>, 44426926=<>, 1381345892=<>, 22192440=<>, 14845376=<>, 16785615=<>, 19034656=<>, 8312862=<>, 15601977=<>, 193232854=<>, 487535749=<>, 27091328=<>, 166715703=<>, 38702668=<>},1420576422643
{18880366=<>, 18964685=<>, 23354464=<>, 61292961=<>, 20096207=<>, 8861752=<>, 199358175=<>, 44426926=<>, 8923182=<>, 14845376=<>, 17348724=<>, 50023090=<>, 15520253=<>, 73417273=<>, 15601977=<>, 193232854=<>, 16220541=<>, 487535749=<>, 27091328=<>, 326821147=<>},1420576542643
