{29788830==, 12413892=<>, 20096207==},1420574522643
{17698956=<>, 17472921==, 7867072==},1420574582643
{1381345892==, 10005212==, 487535749==},1420574642643
{17698956=<>, 1051313198==, 12413892==},1420574702643
{1051313198==, 27091328=<>, 976147104==},1420574762643
{19200736=<>, 12413892=<>, 89787221==},1420574822643
{17070252==, 1618007706=<>, 27091328==},1420574882643
{140080129=<>, 17070252==, 1618007706=<>},1420574942643
{17070252==, 12413892==, 27091328=<>},1420575002643
{174083824==, 1051313198==, 12413892==},1420575062643
{15520253=<>, 15601977==, 7867072=<>},1420575122643
{12413892=<>, 12273252=<>, 89787221==},1420575182643
{202777395=<>, 27091328=<>, 89787221==},1420575242643
{17070252==, 12413892==, 27091328==},1420575302643
{17472921==, 140080129=<>, 1618007706==},1420575362643
{1381345892=<>, 202777395=<>, 12273252==},1420575422643
{202777395==, 17070252==, 89787221==},1420575482643
{234484328==, 1618007706==, 89787221==},1420575542643
{326821147=<>, 12413892==, 27091328==},1420575602643
{326821147=<>, 140080129=<>, 199358175=<>},1420575662643
{17698956=<>, 17472921==, 12413892=<>},1420575722643
{15601977==, 166715703==, 140080129=<>},1420575782643
{1381345892=<>, 12273252=<>, 89787221=<>},1420575842643
{202777395==, 7867072=<>, 17070252==},1420575902643
{17698956=<>, 140080129=<>, 89787221=<>},1420575962643
{202777395==, 20745130==, 12273252==},1420576022643
{140080129=<>, 27091328=<>, 89787221==},1420576082643
{19200736==, 27091328==, 12273252==},1420576142643
{36440780=<>, 19200736==, 140080129=<>},1420576202643
{17698956=<>, 818340=<>, 16101657=<>},1420576262643
{12413892=<>, 20096207==, 27091328==},1420576322643
{17698956=<>, 7867072==, 166715703=<>},1420576382643
{17698956=<>, 7867072==, 44426926=<>},1420576442643
{326821147==, 27091328==, 976147104=<>},1420576502643
{326821147==, 7867072==, 20096207=<>},1420576562643
{17698956=<>, 12413892=<>, 12273252=<>},1420576622643
{326821147==, 17604456=<>, 487535749==},1420576682643
{326821147==, 17698956=<>, 89787221=<>},1420576742643
{17698956==, 20096207=<>, 89787221=<>},1420576802643
{57333521=<>, 27091328==, 12273252==},1420576862643
{7867072==, 140080129=<>, 12413892=<>},1420576922643
{17698956=<>, 12413892==, 57333521==},1420576982643
{17698956==, 10005212=<>, 7867072==},1420577042643
{140080129=<>, 57333521=<>, 8861752=<>},1420577102643
{1381345892=<>, 7867072=<>, 12413892==},1420577162643
{1381345892==, 1618007706=<>, 89787221=<>},1420577222643
{1381345892==, 17070252=<>, 44426926=<>},1420577282643
{1381345892==, 119538278=<>, 1618007706=<>},1420577342643
{1381345892==, 15520253=<>, 12273252==},1420577402643
{14845376=<>, 1618007706==, 89787221=<>},1420577462643
{51220493=<>, 17698956=<>, 11129062==},1420577522643
{1381345892=<>, 1618007706==, 44426926==},1420577582643
{140080129=<>, 44426926==, 11129062==},1420577642643
{20133051=<>, 27091328=<>, 15856366=<>},1420577702643
{326821147=<>, 20133051==, 12273252=<>},1420577762643
{45710831=<>, 22948692=<>, 44426926==},1420577822643
{10005212==, 7867072==, 34409159=<>},1420577882643
{1381345892=<>, 18360000==, 140080129=<>},1420577942643
{14845376=<>, 1051313198=<>, 140080129=<>},1420578002643
{1381345892==, 226493139=<>, 10005212==},1420578062643
{20745130=<>, 45710831==, 17070252=<>},1420578122643
{140080129==, 57333521=<>, 19287097==},1420578182643
{14845376=<>, 57333521==, 44426926=<>},1420578242643
{1381345892=<>, 7867072=<>, 22948692=<>},1420578302643
{326821147==, 10005212=<>, 22948692==},1420578362643
{1381345892==, 43216942=<>, 12273252=<>},1420578422643
{1381345892==, 57333521==, 89787221=<>},1420578482643
{14845376=<>, 140080129=<>, 22948692=<>},1420578542643
{14845376==, 19200736=<>, 316053072=<>},1420578602643
{1381345892=<>, 7867072==, 140080129=<>},1420578662643
{14845376=<>, 22192440=<>, 89787221==},1420578722643
