{21986815==, 15111389==},1420574522643
{140080129==, 18964685==, 8861752==},1420574582643
{23354464==, 10005212==, 24705687==},1420574642643
{140080129=<>78484  78482, 89787221==, 8861752==},1420574702643
{183807568=<>33885  33884, 186222238=<>43819  43816, 92791146==},1420574762643
{7023592==, 186222238=<>43820  43819, 16253142==},1420574822643
{21842357==, 7867072=<>69702  69701, 73417273==},1420574882643
{17070252==, 174890917=<>99997  99995, 18964685==},1420574942643
{89316412==, 89787221==, 24705687=<>100000  100001},1420575002643
{34541677==, 189107456==, 27091328=<>16668  16666},1420575062643
{16621805=<>25758  25757, 12413892=<>35258  35257, 12794362==},1420575122643
{140080129=<>78489  78484, 23973187==, 92733433=<>68844  68843},1420575182643
{17070252==, 166715703==, 18964685=<>100000  100001},1420575242643
{21986815=<>100000  99999, 1381345892=<>31892  31895, 89787221==},1420575302643
{326821147=<>35746  35744, 17472921==, 19964088=<>99997  99998},1420575362643
{140080129=<>78491  78489, 17070252==, 309220197=<>92202  92199},1420575422643
{23742474=<>63505  63504, 202777395==, 89787221==},1420575482643
{7867072=<>69703  69702, 17070252=<>46661  46660, 12413892==},1420575542643
{189107456=<>46852  46850, 174890917==},1420575602643
{189107456==, 11178672==, 89787221=<>99999  99998},1420575662643
{349227445==, 512403075=<>100002  100001, 27091328=<>16667  16668},1420575722643
{15484266==, 73417273==, 16220541=<>29881  29880},1420575782643
{27103822=<>75476  75475, 183807568=<>33899  33885, 15484266==},1420575842643
{15601977==, 16262688=<>70878  70876, 24773493==},1420575902643
{28319608=<>22288  22286, 16262688==, 8861752=<>99992  99987},1420575962643
{14845376=<>66574  66568, 7867072==, 818340=<>100001  100003},1420576022643
{202777395==, 8861752==},1420576082643
{118292510=<>100003  99999, 202777395==, 89787221=<>99997  99999},1420576142643
{278093318=<>74268  74267, 123576946=<>27884  27882},1420576202643
{104227735==, 7867072==, 12413892=<>35260  35258},1420576262643
{818340==, 140080129=<>78506  78491, 17070252==},1420576322643
{38702668=<>12099  12088, 12413892==, 92733433=<>68851  68844},1420576382643
{193232854=<>99998  99996, 18880366==, 92733433==},1420576442643
{12413892=<>35261  35260, 487535749==, 16220541==},1420576502643
{15520253=<>57502  57500, 140080129==, 12413892==},1420576562643
{17604456=<>100004  100001, 44426926=<>38651  38645},1420576622643
{169193463=<>16274  16273, 278093318=<>74270  74268, 329121956==},1420576682643
{140080129==, 22948692=<>95481  95475, 46697447=<>93374  93373},1420576742643
{140080129=<>78507  78506, 174890917=<>99999  99997, 17348724=<>37871  37870},1420576802643
{17698956=<>100062  99989, 61292961==, 7867072==},1420576862643
{1381345892=<>31893  31892, 394078527=<>99988  99985, 49437246==},1420576922643
{1381345892==, 326821147=<>35747  35746, 61292961==},1420576982643
{394078527==, 18811814==, 49437246==},1420577042643
{188077169=<>68756  68753, 12413892=<>35263  35261, 174890917==},1420577102643
{25368027=<>100005  100001, 7867072=<>69704  69703, 8861752=<>99996  99992},1420577162643
{188077169==, 1618007706=<>19643  19637, 17047743=<>99978  99968},1420577222643
{188077169==, 23354464=<>32100  32095, 24773493=<>100001  100002},1420577282643
{23354464==, 119538278=<>47734  47732, 19781206==},1420577342643
{14192680=<>88623  88618, 34541677=<>99998  99995, 18725415==},1420577402643
{10069612=<>99991  99987, 73417273=<>100009  100010, 8861752=<>99997  99996},1420577462643
{326821147=<>35748  35747, 824157=<>100002  99998, 11129062==},1420577522643
{326821147=<>35749  35748, 45710831=<>46172  46170, 7867072=<>69705  69704},1420577582643
{14845376=<>66577  66574, 27103822=<>75479  75476, 21104725=<>100004  100001},1420577642643
{21104725==, 140080129=<>78522  78507, 8861752==},1420577702643
{278093318=<>74271  74270, 140080129==, 14811775=<>99999  99996},1420577762643
{338262255=<>88651  88646, 7867072=<>69704  69705, 27091328==},1420577822643
{824157==, 14845376=<>66578  66577, 309220197=<>92217  92202},1420577882643
{18360000==, 7867072==, 57333521=<>70400  70395},1420577942643
{160890393=<>14964  14963, 92733433=<>68853  68851, 15856366=<>12659  12657},1420578002643
{1581203119=<>100005  99999, 109013694=<>80662  80660, 92733433=<>68854  68853},1420578062643
{1581203119==, 17348724=<>37873  37871, 23973187=<>48788  48789},1420578122643
{1365924662=<>100001  100000, 23973187==, 19287097==},1420578182643
{567341777==, 1618007706=<>19646  19643, 44426926==},1420578242643
{109013694==, 15520253=<>57505  57502, 21842357=<>77831  77828},1420578302643
{16497947==, 16045956=<>56422  56425, 73417273=<>100004  100009},1420578362643
{14192680=<>88626  88623, 40996128=<>36859  36858, 140080129=<>78529  78522},1420578422643
{58975906==, 21842357==, 73417273==},1420578482643
{19274498=<>21549  21548, 18964685=<>100002  100000, 8861752=<>100001  99997},1420578542643
{23354464=<>32101  32100, 24426175=<>51292  51290, 89316412=<>100001  100000},1420578602643
{16045956==, 259637983=<>54608  54609, 17070252=<>46662  46661},1420578662643
{567341777==, 14787749=<>47267  47262},1420578722643
{14845376=<>66582  66578, 467431144=<>15292  15294, 12413892=<>35264  35263},1420578782643
{14845376==, 388784593=<>99999  99998, 15856366==},1420578842643
{14845376=<>66583  66582, 69020299=<>32343  32338, 19781206=<>46852  46854},1420578902643
{180026716=<>71103  71095, 44426926=<>38653  38651, 12273252=<>100006  99994},1420578962643
{180026716==, 73417273=<>100003  100004, 195897346=<>25903  25901},1420579022643
{16101657=<>35999  35995, 27091328=<>16669  16667, 15856366==},1420579082643
{567341777==, 23354464=<>32102  32101, 41644754=<>27226  27221},1420579142643
{384940104=<>100004  99999, 33320626=<>57706  57697, 238480712==},1420579202643
{140080129=<>78543  78529, 73417273==, 33320626==},1420579262643
{824157=<>100001  100002, 10069612=<>99996  99991, 24849868=<>51626  51608},1420579322643
{8312862=<>83697  83694, 14845376==, 69020299==},1420579382643
{1381345892=<>31892  31893, 384940104=<>100005  100004, 309220197=<>92221  92217},1420579442643
{7867072=<>69703  69704, 174890917=<>100001  99999, 12273252=<>100008  100006},1420579502643
{14192680=<>88629  88626, 238115057=<>46409  46400, 309220197==},1420579562643
{238115057==, 44426926==, 27091328==},1420579622643
{14192680==, 10069612==, 7867072==},1420579682643
{384479689=<>32292  32296, 18685577==, 17070252=<>46665  46662},1420579742643
{326821147=<>35752  35749, 7867072==},1420579802643
{89787221=<>100001  99997, 12273252==},1420579862643
{188077169=<>68762  68756, 8861752=<>100002  100001},1420579922643
{16045956=<>56423  56422, 43285968=<>16988  16989, 278093318=<>74272  74271},1420579982643
{188077169==, 22192440=<>99999  99998, 8861752==},1420580042643
{193232854==, 27103822=<>75478  75479, 8861752==},1420580102643
{15520253=<>57508  57505, 19034656=<>42775  42772, 15980503==},1420580162643
{46213956=<>35264  35262, 17348724==, 92791146=<>100001  99998},1420580222643
{326821147==, 15520253=<>57509  57508, 879521==},1420580282643
{292289403=<>88053  88048, 45710831=<>46174  46172, 16262688=<>70884  70878},1420580342643
{824157=<>100000  100001, 69020299==, 89787221==},1420580402643
{15520253==, 61733092=<>13248  13246, 104291835=<>99998  99993},1420580462643
{60863619=<>13276  13273, 17047743=<>99995  99978, 92791146==},1420580522643
{21842357=<>77830  77831, 1454742764=<>99995  99998, 17047743==},1420580582643
{10069612=<>99998  99996, 15601977=<>100001  100002, 92791146==},1420580642643
{1381345892==, 1454742764==, 23624581=<>100001  100002},1420580702643
{174890917=<>100002  100001, 309220197=<>92229  92221, 24426175=<>51297  51292},1420580762643
{34541677=<>99999  99998, 1454742764==, 104291835==},1420580822643
{14192680=<>88631  88629, 188077169==, 12273252=<>100009  100008},1420580882643
{46213956=<>35263  35264, 12413892=<>35268  35264, 163926617=<>80696  80693},1420580942643
{19943507=<>62332  62327, 12273252==, 15856366=<>12660  12659},1420581002643
{14845376==, 35947725=<>100002  99992, 214214616=<>19813  19814},1420581062643
{23354464=<>32103  32102, 7867072=<>69705  69703, 25368027=<>100007  100005},1420581122643
{278093318=<>74279  74272, 11178672==, 1618007706=<>19655  19646},1420581182643
{61292961=<>22854  22851, 21104725==},1420581242643
{14192680=<>88632  88631, 140080129=<>78572  78543, 92791146==},1420581302643
{24849868=<>51624  51626, 12273252=<>100010  100009, 195897346=<>25904  25903},1420581362643
{140080129==, 309220197=<>92230  92229, 12273252==},1420581422643
{27103822==, 23354464==, 1454742764=<>99998  99995},1420581482643
{14845376==, 186222238=<>43833  43820, 57333521=<>70401  70400},1420581542643
{174890917==, 12413892=<>35271  35268, 104291835=<>99999  99998},1420581602643
{278093318==, 140080129=<>78576  78572},1420581662643
{17810599=<>100001  100000, 195897346==},1420581722643
{37845895=<>32966  32969, 45710831==, 131003396==},1420581782643
{108039570=<>33637  33631, 45710831==, 8861752=<>100006  100002},1420581842643
{1381345892==, 107024149=<>35639  35638, 25368027==},1420581902643
{57333521==, 17166894=<>50024  50023, 18964685=<>100003  100002},1420581962643
{14845376=<>66582  66583, 7867072==, 12413892=<>35273  35271},1420582022643
{8312862=<>83701  83697, 23354464=<>32104  32103, 472207757=<>13743  13744},1420582082643
{57333521=<>70402  70401, 20536103=<>56633  56620, 195897346==},1420582142643
{532171645=<>69632  69633, 19934731=<>100002  100001, 43216942=<>63894  63895},1420582202643
{14192680=<>88634  88632, 1618007706=<>19656  19655, 24426175==},1420582262643
