p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
0,1,0.0,39,4.0,3.0,22.0,21.0 
0,1,0.0,41,8.0,8.0,40.0,40.0 
1,4,1.0,32,9.0,8.0,48.0,47.0 
1,3,1.0,30,10.0,9.0,50.0,49.0 
1,1,0.0,30,9.0,8.0,63.0,62.0 
1,4,1.0,32,12.0,11.0,84.0,83.0 
0,4,0.0,30,12.0,10.0,100.0,98.0 
1,3,1.0,27,10.0,8.0,106.0,104.0 
1,3,1.0,29,11.0,9.0,114.0,112.0 
1,4,1.0,31,15.0,13.0,120.0,118.0 
0,1,0.0,30,15.0,14.0,123.0,122.0 
1,2,1.0,30,13.0,12.0,131.0,130.0 
1,4,1.0,29,14.0,13.0,137.0,136.0 
1,2,1.0,27,13.0,12.0,144.0,143.0 
1,3,1.0,37,17.0,16.0,145.0,144.0 
3,3,3.0,39,18.0,16.0,154.0,152.0 
2,3,0.0,26,14.0,14.0,157.0,157.0 
2,4,1.0,22,16.0,14.0,163.0,161.0 
0,3,0.0,25,15.0,15.0,164.0,164.0 
1,3,1.0,26,14.0,13.0,171.0,170.0 
4,9,4.0,41,24.0,22.0,171.0,169.0 
4,6,3.0,40,23.0,21.0,174.0,172.0 
3,5,1.0,42,20.0,19.0,176.0,175.0 
4,4,2.0,32,17.0,16.0,176.0,175.0 
4,3,2.0,23,13.0,12.0,181.0,180.0 
4,4,2.0,21,12.0,11.0,183.0,182.0 
5,6,4.0,34,20.0,18.0,185.0,183.0 
5,4,3.0,36,21.0,20.0,189.0,188.0 
6,3,3.0,37,22.0,20.0,196.0,194.0 
7,7,5.0,38,20.0,19.0,205.0,204.0 
5,6,4.0,28,16.0,14.0,212.0,210.0 
5,7,5.0,25,19.0,17.0,210.0,208.0 
3,5,3.0,29,23.0,21.0,215.0,213.0 
1,2,1.0,27,18.0,17.0,213.0,212.0 
2,2,2.0,34,23.0,21.0,212.0,210.0 
1,4,0.0,32,23.0,22.0,218.0,217.0 
2,4,1.0,26,18.0,16.0,217.0,215.0 
2,3,1.0,32,23.0,22.0,217.0,216.0 
2,3,2.0,28,21.0,19.0,224.0,222.0 
4,6,3.0,38,24.0,22.0,229.0,227.0 
6,6,4.0,33,22.0,20.0,229.0,227.0 
2,2,2.0,27,21.0,19.0,233.0,231.0 
3,5,2.0,31,22.0,20.0,237.0,235.0 
4,6,3.0,30,22.0,20.0,242.0,240.0 
2,3,2.0,24,19.0,17.0,240.0,238.0 
2,3,1.0,30,20.0,19.0,242.0,241.0 
1,3,1.0,26,19.0,18.0,245.0,244.0 
1,3,1.0,25,19.0,18.0,249.0,248.0 
3,1,0.0,26,18.0,18.0,250.0,250.0 
0,2,0.0,29,22.0,22.0,254.0,254.0 
2,4,2.0,24,15.0,13.0,254.0,252.0 
3,5,3.0,31,23.0,21.0,256.0,254.0 
1,5,1.0,28,22.0,20.0,255.0,253.0 
2,3,0.0,23,17.0,16.0,254.0,253.0 
2,4,1.0,27,24.0,23.0,265.0,264.0 
8,12,5.0,38,32.0,30.0,266.0,264.0 
8,9,6.0,34,27.0,26.0,268.0,267.0 
2,5,2.0,33,28.0,26.0,270.0,268.0 
1,3,1.0,39,32.0,30.0,270.0,268.0 
2,5,2.0,39,35.0,33.0,271.0,269.0 
1,5,1.0,43,39.0,37.0,273.0,271.0 
5,6,1.0,42,36.0,35.0,271.0,270.0 
4,7,4.0,33,28.0,26.0,274.0,272.0 
1,3,1.0,30,24.0,22.0,274.0,272.0 
3,4,1.0,30,23.0,23.0,279.0,279.0 
3,3,2.0,33,25.0,23.0,279.0,277.0 
3,2,1.0,34,21.0,21.0,278.0,278.0 
5,4,2.0,30,20.0,19.0,284.0,283.0 
7,5,5.0,31,21.0,19.0,282.0,280.0 
5,5,2.0,32,26.0,24.0,284.0,282.0 
5,7,4.0,30,26.0,24.0,288.0,286.0 
4,6,4.0,22,19.0,17.0,289.0,287.0 
1,4,1.0,23,20.0,18.0,290.0,288.0 
2,5,0.0,28,21.0,20.0,291.0,290.0 
0,4,0.0,24,21.0,19.0,289.0,287.0 
2,4,2.0,31,29.0,27.0,293.0,291.0 
3,5,3.0,34,29.0,27.0,294.0,292.0 
3,5,2.0,36,32.0,30.0,295.0,293.0 
4,4,2.0,33,29.0,28.0,297.0,296.0 
4,5,4.0,36,27.0,25.0,296.0,294.0 
4,6,3.0,36,32.0,31.0,297.0,296.0 
5,6,3.0,32,24.0,23.0,296.0,295.0 
6,4,4.0,37,28.0,27.0,291.0,290.0 
6,6,4.0,37,25.0,24.0,292.0,291.0 
6,7,5.0,31,23.0,22.0,295.0,294.0 
6,7,5.0,32,24.0,22.0,296.0,294.0 
8,4,2.0,31,21.0,20.0,296.0,295.0 
5,4,3.0,38,31.0,30.0,299.0,298.0 
