p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
15,35,10.0,78,35.0,32.0,86.0,83.0 
20,35,13.0,80,35.0,32.0,99.0,96.0 
21,30,12.0,69,30.0,28.0,107.0,105.0 
23,28,14.0,68,28.0,27.0,112.0,111.0 
22,32,15.0,68,32.0,30.0,121.0,119.0 
25,33,15.0,68,33.0,30.0,124.0,121.0 
24,33,12.0,66,33.0,31.0,134.0,132.0 
26,37,15.0,69,37.0,35.0,139.0,137.0 
32,37,18.0,67,37.0,34.0,145.0,142.0 
32,37,19.0,72,37.0,36.0,147.0,146.0 
40,41,26.0,76,41.0,39.0,158.0,156.0 
36,41,26.0,74,41.0,39.0,163.0,161.0 
39,41,30.0,70,41.0,39.0,166.0,164.0 
35,38,26.0,68,38.0,36.0,166.0,164.0 
37,42,27.0,70,42.0,40.0,174.0,172.0 
46,40,31.0,77,40.0,37.0,168.0,165.0 
48,42,29.0,78,42.0,40.0,173.0,171.0 
50,45,34.0,82,45.0,42.0,175.0,172.0 
52,45,31.0,86,45.0,43.0,176.0,174.0 
49,44,30.0,83,44.0,43.0,178.0,177.0 
50,45,32.0,84,45.0,44.0,182.0,181.0 
51,45,32.0,84,45.0,43.0,183.0,181.0 
48,46,33.0,81,46.0,44.0,188.0,186.0 
49,44,34.0,76,44.0,42.0,194.0,192.0 
48,44,35.0,77,44.0,42.0,203.0,201.0 
42,42,32.0,73,42.0,40.0,210.0,208.0 
45,45,36.0,79,45.0,42.0,208.0,205.0 
44,47,35.0,75,47.0,44.0,212.0,209.0 
43,48,36.0,74,48.0,45.0,211.0,208.0 
47,49,39.0,75,49.0,46.0,207.0,204.0 
44,49,36.0,71,49.0,46.0,212.0,209.0 
48,51,41.0,71,51.0,48.0,212.0,209.0 
45,44,34.0,72,44.0,42.0,210.0,208.0 
41,43,34.0,67,43.0,40.0,218.0,215.0 
53,49,40.0,79,49.0,47.0,222.0,220.0 
52,48,42.0,76,48.0,46.0,222.0,220.0 
50,46,40.0,73,46.0,43.0,225.0,222.0 
50,48,39.0,75,48.0,45.0,228.0,225.0 
50,50,43.0,71,50.0,47.0,232.0,229.0 
47,49,41.0,72,49.0,46.0,229.0,226.0 
45,46,39.0,70,46.0,44.0,231.0,229.0 
43,45,36.0,68,45.0,42.0,236.0,233.0 
45,42,34.0,71,42.0,40.0,237.0,235.0 
51,45,36.0,73,45.0,42.0,235.0,232.0 
44,40,33.0,67,40.0,37.0,240.0,237.0 
46,39,31.0,70,39.0,36.0,239.0,236.0 
45,38,31.0,67,38.0,35.0,239.0,236.0 
44,39,33.0,67,39.0,36.0,236.0,233.0 
44,40,32.0,65,40.0,37.0,239.0,236.0 
47,44,35.0,68,44.0,41.0,246.0,243.0 
46,44,35.0,68,44.0,41.0,244.0,241.0 
44,43,33.0,69,43.0,40.0,246.0,243.0 
47,42,32.0,71,42.0,41.0,248.0,247.0 
50,46,36.0,75,46.0,44.0,251.0,249.0 
54,54,43.0,82,54.0,51.0,255.0,252.0 
62,59,49.0,88,59.0,56.0,254.0,251.0 
58,56,46.0,83,56.0,53.0,255.0,252.0 
54,54,44.0,84,54.0,51.0,255.0,252.0 
51,51,38.0,80,51.0,48.0,258.0,255.0 
56,50,40.0,81,50.0,48.0,261.0,259.0 
57,55,45.0,82,55.0,54.0,267.0,266.0 
59,57,49.0,82,57.0,55.0,267.0,265.0 
50,47,40.0,74,47.0,46.0,266.0,265.0 
50,51,44.0,75,51.0,48.0,271.0,268.0 
47,47,42.0,71,47.0,45.0,274.0,272.0 
47,50,44.0,72,50.0,47.0,276.0,273.0 
42,47,40.0,69,47.0,44.0,279.0,276.0 
43,46,40.0,69,46.0,43.0,275.0,272.0 
40,42,36.0,66,42.0,39.0,274.0,271.0 
40,41,36.0,67,41.0,38.0,271.0,268.0 
45,43,37.0,67,43.0,41.0,273.0,271.0 
47,45,39.0,71,45.0,42.0,272.0,269.0 
50,49,43.0,74,49.0,47.0,274.0,272.0 
50,53,43.0,79,53.0,50.0,279.0,276.0 
51,53,44.0,74,53.0,50.0,281.0,278.0 
53,58,46.0,81,58.0,55.0,282.0,279.0 
52,55,43.0,81,55.0,52.0,282.0,279.0 
56,59,46.0,84,59.0,57.0,280.0,278.0 
52,56,45.0,82,56.0,53.0,282.0,279.0 
52,52,43.0,81,52.0,50.0,279.0,277.0 
53,49,42.0,80,49.0,48.0,278.0,277.0 
54,53,43.0,82,53.0,50.0,279.0,276.0 
53,49,41.0,81,49.0,47.0,278.0,276.0 
53,47,41.0,79,47.0,44.0,280.0,277.0 
52,45,40.0,77,45.0,42.0,280.0,277.0 
53,44,39.0,78,44.0,42.0,277.0,275.0 
51,47,39.0,78,47.0,44.0,280.0,277.0 
53,48,38.0,81,48.0,46.0,280.0,278.0 
55,48,39.0,84,48.0,45.0,278.0,275.0 
