p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
0,1,0.0,39,4.0,3.0,22.0,21.0 
0,0,0.0,41,8.0,8.0,40.0,40.0 
1,3,1.0,32,8.0,5.0,46.0,43.0 
0,0,0.0,30,7.0,7.0,46.0,46.0 
0,3,0.0,30,9.0,7.0,62.0,60.0 
1,3,1.0,32,13.0,12.0,83.0,82.0 
0,4,0.0,30,12.0,10.0,97.0,95.0 
0,3,0.0,27,12.0,10.0,108.0,106.0 
1,3,1.0,29,13.0,11.0,113.0,111.0 
0,4,0.0,31,16.0,15.0,121.0,120.0 
0,4,0.0,30,18.0,16.0,128.0,126.0 
0,1,0.0,30,15.0,15.0,137.0,137.0 
2,5,2.0,29,17.0,14.0,142.0,139.0 
0,3,0.0,27,14.0,13.0,145.0,144.0 
0,3,0.0,37,20.0,19.0,148.0,147.0 
2,4,1.0,39,23.0,22.0,159.0,158.0 
0,3,0.0,26,18.0,16.0,164.0,162.0 
1,4,1.0,22,15.0,13.0,167.0,165.0 
1,3,1.0,25,15.0,14.0,167.0,166.0 
2,4,0.0,26,15.0,14.0,174.0,173.0 
3,8,2.0,41,23.0,21.0,171.0,169.0 
4,7,2.0,40,24.0,21.0,179.0,176.0 
2,5,1.0,42,23.0,20.0,181.0,178.0 
1,2,0.0,32,17.0,16.0,178.0,177.0 
2,2,0.0,23,13.0,12.0,181.0,180.0 
0,0,0.0,21,12.0,12.0,185.0,185.0 
1,4,1.0,34,20.0,19.0,188.0,187.0 
0,3,0.0,36,24.0,23.0,193.0,192.0 
3,4,2.0,37,24.0,22.0,200.0,198.0 
1,6,0.0,38,24.0,23.0,208.0,207.0 
0,6,0.0,28,22.0,19.0,215.0,212.0 
3,6,3.0,25,22.0,19.0,212.0,209.0 
1,4,1.0,29,23.0,22.0,216.0,215.0 
3,4,2.0,27,20.0,18.0,215.0,213.0 
1,6,1.0,34,26.0,24.0,214.0,212.0 
1,5,1.0,32,22.0,19.0,218.0,215.0 
2,3,1.0,26,19.0,17.0,218.0,216.0 
3,3,1.0,32,23.0,22.0,220.0,219.0 
1,6,1.0,28,23.0,20.0,229.0,226.0 
5,9,4.0,38,27.0,25.0,233.0,231.0 
2,7,1.0,33,25.0,22.0,233.0,230.0 
2,5,1.0,27,23.0,21.0,234.0,232.0 
4,8,2.0,31,24.0,21.0,237.0,234.0 
5,7,4.0,30,22.0,19.0,242.0,239.0 
3,3,0.0,24,18.0,16.0,238.0,236.0 
3,4,3.0,30,21.0,18.0,239.0,236.0 
1,2,1.0,26,17.0,15.0,240.0,238.0 
2,4,2.0,25,20.0,17.0,243.0,240.0 
4,3,0.0,26,16.0,16.0,244.0,244.0 
1,3,1.0,29,19.0,16.0,248.0,245.0 
2,1,1.0,24,12.0,11.0,244.0,243.0 
1,2,1.0,31,18.0,17.0,245.0,244.0 
0,1,0.0,28,21.0,20.0,246.0,245.0 
0,1,0.0,23,18.0,17.0,246.0,245.0 
1,3,1.0,27,21.0,19.0,256.0,254.0 
2,4,2.0,38,29.0,27.0,256.0,254.0 
2,5,1.0,34,26.0,23.0,259.0,256.0 
0,3,0.0,33,26.0,24.0,260.0,258.0 
0,5,0.0,39,30.0,29.0,262.0,261.0 
3,7,2.0,39,31.0,29.0,266.0,264.0 
5,7,4.0,43,34.0,31.0,266.0,263.0 
3,6,1.0,42,33.0,32.0,263.0,262.0 
2,6,0.0,33,29.0,26.0,267.0,264.0 
0,1,0.0,30,22.0,22.0,268.0,268.0 
2,2,1.0,30,24.0,23.0,275.0,274.0 
4,4,3.0,33,26.0,23.0,276.0,273.0 
2,1,1.0,34,21.0,20.0,275.0,274.0 
2,0,0.0,30,18.0,18.0,278.0,278.0 
2,2,1.0,31,22.0,20.0,278.0,276.0 
3,2,1.0,32,25.0,23.0,281.0,279.0 
4,5,3.0,30,22.0,19.0,284.0,281.0 
2,2,1.0,22,17.0,16.0,284.0,283.0 
2,2,1.0,23,17.0,16.0,288.0,287.0 
2,2,0.0,28,18.0,16.0,288.0,286.0 
2,2,1.0,24,16.0,14.0,287.0,285.0 
1,6,1.0,31,26.0,24.0,292.0,290.0 
1,4,1.0,34,26.0,25.0,293.0,292.0 
4,6,3.0,36,27.0,25.0,293.0,291.0 
3,5,2.0,33,25.0,23.0,295.0,293.0 
5,6,1.0,36,23.0,21.0,296.0,294.0 
3,4,1.0,36,29.0,26.0,298.0,295.0 
3,3,2.0,32,26.0,24.0,294.0,292.0 
2,5,2.0,37,28.0,26.0,292.0,290.0 
4,4,3.0,37,24.0,21.0,291.0,288.0 
3,3,1.0,31,21.0,20.0,292.0,291.0 
1,2,0.0,32,23.0,22.0,293.0,292.0 
1,2,0.0,31,24.0,23.0,295.0,294.0 
2,2,1.0,38,32.0,30.0,296.0,294.0 
1,1,0.0,33,25.0,25.0,296.0,296.0 
3,2,2.0,35,27.0,25.0,297.0,295.0 
3,4,2.0,33,25.0,23.0,296.0,294.0 
2,3,1.0,34,26.0,24.0,297.0,295.0 
1,0,0.0,35,25.0,25.0,298.0,298.0 
1,1,0.0,39,30.0,29.0,301.0,300.0 
2,3,2.0,35,27.0,25.0,304.0,302.0 
3,3,1.0,36,24.0,23.0,305.0,304.0 
0,5,0.0,36,25.0,24.0,308.0,307.0 
2,7,2.0,33,28.0,25.0,311.0,308.0 
2,9,2.0,40,36.0,33.0,312.0,309.0 
3,9,3.0,38,33.0,30.0,314.0,311.0 
3,7,2.0,30,26.0,23.0,314.0,311.0 
3,4,2.0,26,19.0,17.0,311.0,309.0 
1,5,1.0,31,26.0,23.0,316.0,313.0 
2,6,2.0,30,24.0,21.0,314.0,311.0 
3,7,1.0,26,22.0,20.0,314.0,312.0 
1,4,1.0,26,19.0,16.0,313.0,310.0 
5,5,2.0,30,23.0,21.0,312.0,310.0 
5,8,3.0,32,26.0,23.0,314.0,311.0 
3,6,0.0,26,20.0,18.0,314.0,312.0 
4,8,4.0,30,25.0,22.0,315.0,312.0 
0,2,0.0,25,17.0,15.0,314.0,312.0 
0,3,0.0,31,25.0,23.0,313.0,311.0 
1,2,1.0,26,24.0,23.0,313.0,312.0 
3,7,3.0,26,22.0,19.0,312.0,309.0 
3,5,1.0,33,22.0,20.0,312.0,310.0 
0,3,0.0,27,20.0,20.0,315.0,315.0 
1,3,1.0,24,19.0,17.0,315.0,313.0 
3,4,2.0,34,27.0,25.0,317.0,315.0 
2,5,1.0,33,28.0,26.0,318.0,316.0 
2,4,2.0,41,33.0,31.0,317.0,315.0 
0,5,0.0,34,28.0,26.0,315.0,313.0 
2,6,1.0,30,24.0,22.0,317.0,315.0 
2,7,2.0,33,27.0,24.0,320.0,317.0 
2,8,1.0,35,27.0,25.0,322.0,320.0 
0,4,0.0,29,22.0,20.0,321.0,319.0 
1,3,1.0,32,23.0,20.0,320.0,317.0 
1,4,0.0,26,19.0,16.0,320.0,317.0 
2,8,1.0,30,25.0,23.0,321.0,319.0 
2,6,1.0,35,26.0,24.0,317.0,315.0 
2,6,1.0,32,23.0,21.0,316.0,314.0 
1,4,1.0,34,25.0,23.0,313.0,311.0 
4,4,1.0,35,25.0,24.0,308.0,307.0 
0,5,0.0,30,22.0,22.0,309.0,309.0 
2,5,0.0,30,22.0,22.0,312.0,312.0 
