p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
0,2,0.0,39,4.0,2.0,22.0,20.0 
0,5,0.0,41,8.0,7.0,40.0,39.0 
0,4,0.0,32,9.0,8.0,48.0,47.0 
1,3,0.0,30,10.0,9.0,50.0,49.0 
1,5,0.0,30,10.0,8.0,64.0,62.0 
1,8,1.0,32,14.0,11.0,86.0,83.0 
1,5,1.0,30,10.0,9.0,97.0,96.0 
0,4,0.0,27,10.0,8.0,104.0,102.0 
2,6,2.0,29,10.0,8.0,110.0,108.0 
1,7,1.0,31,15.0,14.0,118.0,117.0 
1,7,1.0,30,15.0,14.0,126.0,125.0 
0,7,0.0,30,14.0,13.0,136.0,135.0 
2,8,2.0,29,16.0,13.0,141.0,138.0 
4,6,2.0,27,14.0,12.0,144.0,142.0 
4,10,4.0,37,18.0,15.0,146.0,143.0 
7,9,4.0,39,19.0,17.0,156.0,154.0 
5,7,2.0,26,14.0,12.0,160.0,158.0 
4,6,2.0,22,14.0,13.0,161.0,160.0 
2,4,0.0,25,15.0,12.0,165.0,162.0 
3,6,3.0,26,12.0,9.0,169.0,166.0 
9,6,3.0,41,21.0,20.0,167.0,166.0 
11,15,7.0,40,24.0,21.0,176.0,173.0 
9,10,6.0,42,23.0,20.0,177.0,174.0 
6,7,3.0,32,17.0,15.0,178.0,176.0 
7,6,3.0,23,14.0,13.0,182.0,181.0 
7,6,2.0,21,12.0,10.0,186.0,184.0 
5,7,3.0,34,21.0,20.0,188.0,187.0 
9,11,5.0,36,22.0,20.0,194.0,192.0 
9,11,7.0,37,23.0,20.0,199.0,196.0 
8,7,4.0,38,20.0,20.0,203.0,203.0 
2,4,1.0,28,16.0,15.0,211.0,210.0 
5,9,5.0,25,21.0,18.0,212.0,209.0 
8,8,6.0,29,22.0,19.0,216.0,213.0 
5,4,4.0,27,19.0,17.0,214.0,212.0 
4,7,4.0,34,23.0,20.0,212.0,209.0 
7,10,4.0,32,20.0,18.0,215.0,213.0 
7,7,6.0,26,19.0,16.0,213.0,210.0 
9,9,6.0,32,22.0,19.0,212.0,209.0 
9,7,4.0,28,19.0,17.0,220.0,218.0 
13,9,7.0,38,23.0,22.0,225.0,224.0 
9,10,7.0,33,25.0,23.0,225.0,223.0 
5,7,4.0,27,21.0,18.0,227.0,224.0 
8,7,5.0,31,18.0,17.0,228.0,227.0 
10,9,9.0,30,23.0,20.0,233.0,230.0 
