p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
1,4,0.0,39,4.0,4.0,22.0,22.0 
2,9,1.0,41,9.0,9.0,41.0,41.0 
1,9,1.0,32,9.0,8.0,47.0,46.0 
7,10,5.0,30,10.0,10.0,49.0,49.0 
8,11,6.0,30,11.0,11.0,63.0,63.0 
10,15,8.0,32,15.0,15.0,85.0,85.0 
12,11,7.0,30,11.0,11.0,98.0,98.0 
14,11,8.0,27,11.0,11.0,106.0,106.0 
15,13,8.0,29,13.0,12.0,113.0,112.0 
13,17,9.0,31,17.0,17.0,122.0,122.0 
14,18,9.0,30,18.0,18.0,129.0,129.0 
17,18,12.0,30,18.0,18.0,138.0,138.0 
16,18,10.0,29,18.0,17.0,143.0,142.0 
20,16,12.0,27,16.0,15.0,148.0,147.0 
24,22,17.0,37,22.0,22.0,149.0,149.0 
28,23,20.0,39,23.0,23.0,158.0,158.0 
21,17,15.0,26,17.0,16.0,163.0,162.0 
17,15,14.0,22,15.0,15.0,167.0,167.0 
21,17,16.0,25,17.0,16.0,167.0,166.0 
19,15,13.0,26,15.0,15.0,173.0,173.0 
33,25,22.0,41,25.0,25.0,173.0,173.0 
31,24,21.0,40,24.0,23.0,178.0,177.0 
31,24,23.0,42,24.0,24.0,180.0,180.0 
23,19,16.0,32,19.0,19.0,180.0,180.0 
19,15,13.0,23,15.0,14.0,185.0,184.0 
19,14,14.0,21,14.0,12.0,187.0,185.0 
24,22,19.0,34,22.0,22.0,189.0,189.0 
30,25,22.0,36,25.0,25.0,195.0,195.0 
30,28,26.0,37,28.0,28.0,201.0,201.0 
31,25,23.0,38,25.0,25.0,210.0,210.0 
23,21,19.0,28,21.0,20.0,216.0,215.0 
21,21,19.0,25,21.0,20.0,215.0,214.0 
26,24,24.0,29,24.0,23.0,219.0,218.0 
24,21,21.0,27,21.0,20.0,219.0,218.0 
28,27,26.0,34,27.0,27.0,218.0,218.0 
28,25,23.0,32,25.0,24.0,222.0,221.0 
24,21,20.0,26,21.0,18.0,222.0,219.0 
26,23,23.0,32,23.0,23.0,221.0,221.0 
25,22,20.0,28,22.0,21.0,226.0,225.0 
33,26,22.0,38,26.0,24.0,231.0,229.0 
28,25,24.0,33,25.0,25.0,229.0,229.0 
24,24,22.0,27,24.0,21.0,233.0,230.0 
26,19,19.0,31,19.0,19.0,234.0,234.0 
27,23,22.0,30,23.0,22.0,239.0,238.0 
20,20,19.0,24,20.0,19.0,236.0,235.0 
25,22,22.0,30,22.0,22.0,239.0,239.0 
24,21,21.0,26,21.0,20.0,244.0,243.0 
21,19,19.0,25,19.0,19.0,248.0,248.0 
22,21,20.0,26,21.0,21.0,248.0,248.0 
24,22,20.0,29,22.0,22.0,254.0,254.0 
19,16,16.0,24,16.0,16.0,256.0,256.0 
25,24,23.0,31,24.0,24.0,259.0,259.0 
23,22,21.0,28,22.0,21.0,257.0,256.0 
21,19,19.0,23,19.0,17.0,257.0,255.0 
24,24,22.0,27,24.0,22.0,267.0,265.0 
33,30,29.0,38,30.0,29.0,264.0,263.0 
31,29,29.0,34,29.0,28.0,268.0,267.0 
28,25,25.0,33,25.0,25.0,269.0,269.0 
