{21986815==, 19034656==, 18964685==},1420574522643
{5146511==, 21862217=<>, 472207757==},1420574582643
{5146511==, 21862217==, 90714989==},1420574642643
{21862217==, 23779501==, 92791146==},1420574702643
{7023592==, 23779501==, 92791146==},1420574762643
{18964685==, 49437246=<>, 26207922=<>},1420574822643
{174890917=<>, 18964685==, 24773493==},1420574882643
{18964685==, 89316412==, 24773493==},1420574942643
{15601977==, 18964685==, 89316412==},1420575002643
{174083824==, 15601977==, 19934731=<>},1420575062643
{174083824==, 15601977==, 25870048==},1420575122643
{15601977==, 25870048==, 18964685=<>},1420575182643
{166715703==, 19934731==, 18964685==},1420575242643
{166715703==, 174890917=<>, 19934731==},1420575302643
{15601977==, 89316412==, 24773493==},1420575362643
{15601977==, 89316412==, 24773493==},1420575422643
{174890917==, 18964685==, 24773493==},1420575482643
{15601977==, 174890917==, 18964685==},1420575542643
{40996128==, 174890917==, 24773493==},1420575602643
{40996128==, 199358175=<>, 24773493==},1420575662643
{15601977==, 89316412==, 199358175==},1420575722643
{15601977==, 166715703==, 17965433==},1420575782643
{15601977==, 166715703==, 17965433==},1420575842643
{8923182=<>, 15601977==, 24773493==},1420575902643
{8923182==, 15601977==, 8861752=<>},1420575962643
{8312862=<>, 17698956=<>, 15601977==},1420576022643
{8923182==, 15601977==, 24773493==},1420576082643
{15601977==, 199358175==, 24773493==},1420576142643
{16497947==, 15601977==, 199358175==},1420576202643
{16497947==, 15907716==, 15601977==},1420576262643
{40996128==, 15601977==, 166715703=<>},1420576322643
{19034656=<>, 166715703==, 19781206==},1420576382643
{19034656==, 19781206==, 18880366==},1420576442643
{14192680=<>, 278093318=<>, 18880366==},1420576502643
{14192680==, 8923182==, 15601977==},1420576562643
{278093318==, 8923182==, 15601977==},1420576622643
{169193463=<>, 22948692=<>, 12273252=<>},1420576682643
{169193463==, 15907716==, 12273252==},1420576742643
{40996128==, 19034656=<>, 12273252==},1420576802643
{15907716==, 166715703=<>, 12273252==},1420576862643
{15907716==, 15601977==, 166715703==},1420576922643
{824157=<>, 394078527=<>, 89787221=<>},1420576982643
{19034656==, 24773493=<>, 89787221==},1420577042643
{19034656==, 276554601=<>, 73417273==},1420577102643
{20263526=<>, 15601977==, 89787221==},1420577162643
{20263526==, 19934731==, 89787221==},1420577222643
{292289403=<>, 19934731==, 24773493==},1420577282643
{14845376=<>, 34541677=<>, 24773493==},1420577342643
{34541677==, 10069612=<>, 19781206==},1420577402643
{34541677==, 10069612==, 19934731==},1420577462643
{16497947==, 19934731==, 11129062==},1420577522643
{16497947==, 10069612==, 19934731==},1420577582643
{40996128==, 10069612==, 11129062==},1420577642643
{1381345892==, 7867072=<>, 14811775=<>},1420577702643
{7867072=<>, 14811775==, 19287097==},1420577762643
{7867072==, 472207757=<>, 309220197=<>},1420577822643
{7867072==, 17965433==, 309220197=<>},1420577882643
{20263526==, 7867072==, 17965433==},1420577942643
{20263526==, 24773493=<>, 160890393=<>},1420578002643
{40996128=<>, 10069612=<>, 24773493==},1420578062643
{10069612==, 19934731==, 24773493==},1420578122643
{10069612==, 19934731==, 24773493==},1420578182643
{10069612==, 79292033=<>, 160890393==},1420578242643
{10069612=<>, 79292033==, 160890393==},1420578302643
{16497947==, 40996128=<>, 27103822=<>},1420578362643
{16497947==, 40996128==, 169193463==},1420578422643
{16497947==, 109013694=<>, 169193463==},1420578482643
{109013694==, 24773493==, 92733433=<>},1420578542643
{567341777==, 19934731==, 24773493==},1420578602643
{188077169=<>, 21842357=<>, 12413892=<>},1420578662643
{567341777==, 12413892==, 1886740873=<>},1420578722643
{567341777==, 12413892==, 1886740873==},1420578782643
{567341777==, 19781206=<>, 24773493==},1420578842643
{567341777==, 24773493==, 251369428==},1420578902643
{567341777==, 180026716=<>, 619739966==},1420578962643
{180026716==, 21842357==, 619739966==},1420579022643
{338262255=<>, 21842357==, 160890393==},1420579082643
{567341777==, 50023090=<>, 160890393==},1420579142643
{338262255==, 50023090==, 238480712==},1420579202643
{50023090==, 238480712==, 619739966==},1420579262643
{472207757==, 619739966==, 251369428=<>},1420579322643
{567341777==, 472207757==, 251369428==},1420579382643
{40996128==, 338262255==, 4380591=<>},1420579442643
{129917609=<>, 25870048=<>, 4380591==},1420579502643
{129917609==, 174890917=<>, 57333521=<>},1420579562643
{567341777==, 174890917==, 251369428==},1420579622643
{18685577==, 174890917==, 24773493==},1420579682643
{169193463==, 18685577==, 24773493==},1420579742643
{169193463==, 15907716==, 24773493==},1420579802643
{1581203119=<>, 174890917==, 24773493==},1420579862643
{1581203119=<>, 174890917==, 24773493==},1420579922643
{1581203119=<>, 619739966=<>, 24773493==},1420579982643
{24206345=<>, 174890917==, 57333521=<>},1420580042643
{79292033==, 174890917==, 57333521==},1420580102643
{15520253=<>, 22990521=<>, 16262688=<>},1420580162643
{169193463==, 22990521==, 16262688==},1420580222643
{169193463==, 16262688==, 24773493==},1420580282643
{174890917==, 19781206==, 24773493==},1420580342643
{1581203119==, 15601977=<>, 174890917==},1420580402643
{15601977==, 174890917==, 24773493==},1420580462643
{472207757==, 17047743=<>, 24773493==},1420580522643
{15601977==, 472207757==, 19934731=<>},1420580582643
{15601977==, 472207757==, 19934731==},1420580642643
{174890917=<>, 1454742764=<>, 23624581=<>},1420580702643
{174890917==, 22192440=<>, 31634255=<>},1420580762643
{1454742764==, 19934731==, 24773493=<>},1420580822643
{17604456=<>, 163926617=<>, 24773493==},1420580882643
{17604456==, 20745130=<>, 19934731==},1420580942643
{202777395=<>, 512403075=<>, 19934731==},1420581002643
{472207757==, 512403075==, 19934731==},1420581062643
{472207757==, 25368027=<>, 19934731==},1420581122643
{25870048==, 34409159=<>, 19934731=<>},1420581182643
{202777395==, 25870048==, 19934731==},1420581242643
{202777395=<>, 22192440=<>, 19934731==},1420581302643
{15484266==, 22192440==, 24773493==},1420581362643
{49437246==, 26207922=<>, 24773493==},1420581422643
{49437246==, 26207922==, 24773493==},1420581482643
{532171645=<>, 104291835=<>, 24773493==},1420581542643
{532171645==, 512403075==, 104291835==},1420581602643
{93644596=<>, 15445129=<>, 472207757==},1420581662643
{15445129==, 472207757==, 24773493=<>},1420581722643
{15445129==, 17698956=<>, 24773493==},1420581782643
{17810599=<>, 879521=<>, 24773493==},1420581842643
{23742474=<>, 24773493==, 89787221=<>},1420581902643
{17810599==, 104291835==, 24773493==},1420581962643
{16497947==, 17810599==, 238480712==},1420582022643
{472207757==, 238480712==, 24773493==},1420582082643
{472207757==, 104291835==, 24773493==},1420582142643
{19934731==, 104291835==, 24773493==},1420582202643
{19934731==, 104291835==, 24773493==},1420582262643
{175295203==, 193232854=<>, 19934731==},1420582322643
{175295203==, 104291835==, 24773493==},1420582382643
{15484266=<>, 19934731==, 89316412=<>},1420582442643
{15484266==, 19934731==, 89316412==},1420582502643
{15484266==, 359630710=<>, 19934731==},1420582562643
{15445129=<>, 193232854==, 24773493==},1420582622643
{15445129==, 89316412==, 24773493==},1420582682643
{15484266==, 359630710==, 24773493==},1420582742643
{24849868=<>, 359630710==, 24773493==},1420582802643
{15601977=<>, 89316412==, 24773493==},1420582862643
{15601977==, 89316412==, 24773493==},1420582922643
{15484266==, 17145499==, 24773493==},1420582982643
{17145499==, 525187154=<>, 8861752=<>},1420583042643
{17810599==, 525187154==, 8861752==},1420583102643
{472207757==, 384940104=<>, 24773493==},1420583162643
{186222238=<>, 54988878=<>, 18725415==},1420583222643
{15445129=<>, 15484266==, 54988878==},1420583282643
{15445129==, 15601977==, 24773493==},1420583342643
{15484266==, 15601977==, 24773493==},1420583402643
{15484266==, 472207757==, 35947725=<>},1420583462643
