p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
1,4,0.0,39,4.0,4.0,22.0,22.0 
2,9,1.0,41,9.0,9.0,41.0,41.0 
1,9,1.0,32,9.0,9.0,47.0,47.0 
7,11,5.0,30,11.0,9.0,50.0,48.0 
5,10,3.0,30,10.0,9.0,63.0,62.0 
6,13,4.0,32,13.0,11.0,84.0,82.0 
8,12,6.0,30,12.0,10.0,99.0,97.0 
9,12,6.0,27,12.0,10.0,108.0,106.0 
7,14,6.0,29,14.0,12.0,115.0,113.0 
7,17,4.0,31,17.0,15.0,121.0,119.0 
8,17,5.0,30,17.0,15.0,126.0,124.0 
10,17,7.0,30,17.0,14.0,136.0,133.0 
7,17,4.0,29,17.0,14.0,142.0,139.0 
12,14,4.0,27,14.0,12.0,146.0,144.0 
14,16,9.0,37,16.0,14.0,146.0,144.0 
18,18,13.0,39,18.0,16.0,154.0,152.0 
17,17,11.0,26,17.0,16.0,159.0,158.0 
14,15,10.0,22,15.0,13.0,165.0,163.0 
15,12,9.0,25,12.0,11.0,164.0,163.0 
13,13,7.0,26,13.0,11.0,172.0,170.0 
25,21,13.0,41,21.0,18.0,171.0,168.0 
26,26,18.0,40,26.0,23.0,178.0,175.0 
24,21,17.0,42,21.0,18.0,178.0,175.0 
19,16,13.0,32,16.0,13.0,176.0,173.0 
14,14,9.0,23,14.0,13.0,180.0,179.0 
12,12,9.0,21,12.0,9.0,182.0,179.0 
18,20,14.0,34,20.0,18.0,183.0,181.0 
23,22,15.0,36,22.0,20.0,187.0,185.0 
23,24,19.0,37,24.0,21.0,193.0,190.0 
23,21,16.0,38,21.0,19.0,202.0,200.0 
15,17,9.0,28,17.0,14.0,209.0,206.0 
18,19,14.0,25,19.0,17.0,207.0,205.0 
21,25,19.0,29,25.0,22.0,215.0,212.0 
17,19,16.0,27,19.0,16.0,214.0,211.0 
22,23,19.0,34,23.0,20.0,211.0,208.0 
19,23,15.0,32,23.0,22.0,216.0,215.0 
16,17,13.0,26,17.0,14.0,216.0,213.0 
20,19,15.0,32,19.0,16.0,215.0,212.0 
23,22,18.0,28,22.0,20.0,221.0,219.0 
28,24,19.0,38,24.0,22.0,226.0,224.0 
23,21,18.0,33,21.0,18.0,225.0,222.0 
20,17,16.0,27,17.0,16.0,227.0,226.0 
22,19,16.0,31,19.0,17.0,232.0,230.0 
20,20,17.0,30,20.0,18.0,237.0,235.0 
13,17,10.0,24,17.0,14.0,234.0,231.0 
21,21,17.0,30,21.0,19.0,235.0,233.0 
19,19,16.0,26,19.0,18.0,240.0,239.0 
20,19,16.0,25,19.0,16.0,242.0,239.0 
24,17,17.0,26,17.0,14.0,242.0,239.0 
21,20,16.0,29,20.0,18.0,248.0,246.0 
17,13,12.0,24,13.0,10.0,248.0,245.0 
20,20,16.0,31,20.0,18.0,248.0,246.0 
19,22,17.0,28,22.0,19.0,248.0,245.0 
17,17,14.0,23,17.0,15.0,249.0,247.0 
18,21,17.0,27,21.0,18.0,254.0,251.0 
28,28,22.0,38,28.0,25.0,251.0,248.0 
29,27,24.0,34,27.0,26.0,253.0,252.0 
27,25,23.0,33,25.0,23.0,257.0,255.0 
