p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
1,4,0.0,39,4.0,4.0,22.0,22.0 
2,9,1.0,41,9.0,9.0,41.0,41.0 
1,9,1.0,32,9.0,9.0,47.0,47.0 
7,11,5.0,30,11.0,9.0,50.0,48.0 
5,10,3.0,30,10.0,10.0,63.0,63.0 
8,14,6.0,32,14.0,12.0,85.0,83.0 
9,13,7.0,30,13.0,10.0,100.0,97.0 
8,10,5.0,27,10.0,7.0,106.0,103.0 
9,12,5.0,29,12.0,9.0,112.0,109.0 
8,14,4.0,31,14.0,13.0,116.0,115.0 
6,15,4.0,30,15.0,15.0,121.0,121.0 
7,14,5.0,30,14.0,12.0,133.0,131.0 
10,15,5.0,29,15.0,12.0,140.0,137.0 
14,14,7.0,27,14.0,12.0,145.0,143.0 
16,19,12.0,37,19.0,17.0,147.0,145.0 
20,21,15.0,39,21.0,19.0,157.0,155.0 
16,17,10.0,26,17.0,14.0,162.0,159.0 
12,14,8.0,22,14.0,13.0,164.0,163.0 
12,13,10.0,25,13.0,10.0,165.0,162.0 
14,14,9.0,26,14.0,12.0,171.0,169.0 
25,21,15.0,41,21.0,19.0,167.0,165.0 
25,23,16.0,40,23.0,20.0,178.0,175.0 
26,23,18.0,42,23.0,20.0,177.0,174.0 
23,16,13.0,32,16.0,14.0,177.0,175.0 
17,12,11.0,23,12.0,11.0,180.0,179.0 
15,11,10.0,21,11.0,9.0,184.0,182.0 
18,17,13.0,34,17.0,14.0,183.0,180.0 
24,22,17.0,36,22.0,21.0,187.0,186.0 
24,23,18.0,37,23.0,21.0,196.0,194.0 
23,24,16.0,38,24.0,23.0,206.0,205.0 
16,20,12.0,28,20.0,17.0,214.0,211.0 
16,21,14.0,25,21.0,18.0,211.0,208.0 
19,21,16.0,29,21.0,18.0,214.0,211.0 
18,16,14.0,27,16.0,14.0,211.0,209.0 
19,22,17.0,34,22.0,19.0,210.0,207.0 
20,20,13.0,32,20.0,18.0,215.0,213.0 
18,16,13.0,26,16.0,13.0,217.0,214.0 
22,22,18.0,32,22.0,19.0,217.0,214.0 
21,22,17.0,28,22.0,20.0,223.0,221.0 
27,24,19.0,38,24.0,22.0,227.0,225.0 
25,23,18.0,33,23.0,20.0,227.0,224.0 
18,19,16.0,27,19.0,16.0,228.0,225.0 
20,17,12.0,31,17.0,14.0,232.0,229.0 
21,21,17.0,30,21.0,18.0,236.0,233.0 
14,16,12.0,24,16.0,14.0,233.0,231.0 
18,18,16.0,30,18.0,15.0,235.0,232.0 
16,14,12.0,26,14.0,12.0,239.0,237.0 
20,18,15.0,25,18.0,15.0,242.0,239.0 
17,15,10.0,26,15.0,14.0,243.0,242.0 
19,19,15.0,29,19.0,16.0,246.0,243.0 
15,13,11.0,24,13.0,10.0,245.0,242.0 
20,18,16.0,31,18.0,15.0,244.0,241.0 
20,18,17.0,28,18.0,15.0,239.0,236.0 
16,16,14.0,23,16.0,14.0,241.0,239.0 
18,19,14.0,27,19.0,17.0,251.0,249.0 
25,28,22.0,38,28.0,25.0,252.0,249.0 
19,23,16.0,34,23.0,20.0,253.0,250.0 
24,22,16.0,33,22.0,21.0,254.0,253.0 
