p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
1,4,0.0,39,4.0,4.0,22.0,22.0 
2,9,1.0,41,9.0,8.0,41.0,40.0 
1,8,1.0,32,8.0,8.0,46.0,46.0 
6,10,5.0,30,10.0,7.0,49.0,46.0 
4,9,2.0,30,9.0,8.0,61.0,60.0 
7,13,5.0,32,13.0,11.0,82.0,80.0 
7,11,5.0,30,11.0,10.0,96.0,95.0 
8,11,5.0,27,11.0,9.0,105.0,103.0 
9,13,6.0,29,13.0,10.0,112.0,109.0 
8,13,3.0,31,13.0,13.0,115.0,115.0 
9,17,6.0,30,17.0,16.0,124.0,123.0 
9,15,7.0,30,15.0,12.0,134.0,131.0 
8,16,6.0,29,16.0,13.0,140.0,137.0 
9,13,4.0,27,13.0,12.0,144.0,143.0 
14,19,9.0,37,19.0,17.0,147.0,145.0 
20,21,15.0,39,21.0,19.0,157.0,155.0 
15,17,10.0,26,17.0,15.0,162.0,160.0 
13,16,10.0,22,16.0,13.0,162.0,159.0 
13,13,10.0,25,13.0,10.0,162.0,159.0 
12,12,8.0,26,12.0,10.0,168.0,166.0 
26,21,16.0,41,21.0,20.0,167.0,166.0 
25,24,18.0,40,24.0,21.0,175.0,172.0 
27,23,20.0,42,23.0,21.0,174.0,172.0 
20,16,12.0,32,16.0,13.0,174.0,171.0 
16,13,9.0,23,13.0,12.0,179.0,178.0 
13,11,8.0,21,11.0,9.0,183.0,181.0 
19,19,14.0,34,19.0,16.0,184.0,181.0 
26,22,17.0,36,22.0,20.0,187.0,185.0 
25,24,20.0,37,24.0,21.0,195.0,192.0 
27,18,16.0,38,18.0,16.0,199.0,197.0 
20,15,13.0,28,15.0,12.0,205.0,202.0 
16,17,13.0,25,17.0,14.0,202.0,199.0 
18,21,15.0,29,21.0,18.0,211.0,208.0 
17,17,13.0,27,17.0,14.0,208.0,205.0 
24,23,19.0,34,23.0,21.0,206.0,204.0 
21,22,15.0,32,22.0,20.0,212.0,210.0 
19,19,16.0,26,19.0,16.0,212.0,209.0 
21,18,15.0,32,18.0,16.0,210.0,208.0 
21,20,16.0,28,20.0,17.0,217.0,214.0 
24,22,16.0,38,22.0,20.0,223.0,221.0 
26,22,20.0,33,22.0,19.0,222.0,219.0 
18,16,14.0,27,16.0,13.0,222.0,219.0 
22,15,13.0,31,15.0,13.0,224.0,222.0 
21,21,18.0,30,21.0,18.0,230.0,227.0 
13,15,10.0,24,15.0,13.0,226.0,224.0 
17,18,15.0,30,18.0,16.0,230.0,228.0 
15,13,11.0,26,13.0,11.0,236.0,234.0 
15,14,10.0,25,14.0,12.0,241.0,239.0 
17,15,12.0,26,15.0,13.0,243.0,241.0 
19,19,15.0,29,19.0,16.0,244.0,241.0 
15,14,12.0,24,14.0,11.0,243.0,240.0 
19,19,15.0,31,19.0,16.0,249.0,246.0 
18,19,14.0,28,19.0,16.0,245.0,242.0 
18,18,13.0,23,18.0,15.0,246.0,243.0 
18,19,15.0,27,19.0,17.0,253.0,251.0 
29,26,20.0,38,26.0,24.0,253.0,251.0 
21,19,13.0,34,19.0,17.0,254.0,252.0 
22,19,14.0,33,19.0,18.0,256.0,255.0 
25,25,16.0,39,25.0,23.0,261.0,259.0 
29,27,23.0,39,27.0,25.0,261.0,259.0 
36,30,27.0,43,30.0,28.0,261.0,259.0 
32,29,27.0,42,29.0,26.0,263.0,260.0 
22,23,19.0,33,23.0,20.0,264.0,261.0 
18,20,14.0,30,20.0,19.0,267.0,266.0 
20,21,17.0,30,21.0,18.0,273.0,270.0 
23,24,21.0,33,24.0,21.0,274.0,271.0 
22,22,16.0,34,22.0,21.0,272.0,271.0 
23,20,17.0,30,20.0,17.0,271.0,268.0 
20,19,16.0,31,19.0,17.0,272.0,270.0 
20,24,17.0,32,24.0,22.0,280.0,278.0 
19,24,17.0,30,24.0,21.0,282.0,279.0 
16,18,13.0,22,18.0,15.0,280.0,277.0 
16,16,14.0,23,16.0,14.0,279.0,277.0 
19,17,14.0,28,17.0,16.0,280.0,279.0 
17,17,15.0,24,17.0,15.0,281.0,279.0 
21,24,18.0,31,24.0,21.0,288.0,285.0 
25,25,20.0,34,25.0,22.0,288.0,285.0 
28,28,23.0,36,28.0,25.0,289.0,286.0 
22,24,20.0,33,24.0,22.0,291.0,289.0 
26,24,20.0,36,24.0,21.0,290.0,287.0 
25,26,23.0,36,26.0,23.0,292.0,289.0 
24,24,19.0,32,24.0,22.0,292.0,290.0 
27,27,22.0,37,27.0,25.0,289.0,287.0 
26,21,17.0,37,21.0,20.0,290.0,289.0 
23,15,12.0,31,15.0,14.0,288.0,287.0 
24,20,15.0,32,20.0,17.0,292.0,289.0 
25,19,16.0,31,19.0,18.0,292.0,291.0 
30,26,23.0,38,26.0,25.0,297.0,296.0 
25,21,20.0,33,21.0,20.0,299.0,298.0 
24,24,21.0,35,24.0,21.0,302.0,299.0 
19,20,17.0,33,20.0,17.0,299.0,296.0 
24,26,22.0,34,26.0,23.0,303.0,300.0 
27,25,21.0,35,25.0,23.0,301.0,299.0 
32,31,27.0,39,31.0,28.0,301.0,298.0 
28,25,24.0,35,25.0,23.0,302.0,300.0 
28,23,21.0,36,23.0,21.0,304.0,302.0 
26,23,22.0,36,23.0,21.0,303.0,301.0 
25,23,22.0,33,23.0,20.0,301.0,298.0 
33,31,27.0,40,31.0,29.0,300.0,298.0 
31,32,26.0,38,32.0,29.0,306.0,303.0 
22,21,18.0,30,21.0,19.0,303.0,301.0 
20,20,18.0,26,20.0,17.0,301.0,298.0 
23,22,19.0,31,22.0,19.0,303.0,300.0 
23,22,18.0,30,22.0,19.0,301.0,298.0 
20,19,16.0,26,19.0,18.0,302.0,301.0 
22,21,20.0,26,21.0,18.0,303.0,300.0 
25,23,19.0,30,23.0,20.0,300.0,297.0 
23,21,17.0,32,21.0,21.0,300.0,300.0 
19,20,14.0,26,20.0,19.0,303.0,302.0 
19,22,15.0,30,22.0,20.0,305.0,303.0 
17,18,14.0,25,18.0,15.0,305.0,302.0 
24,23,21.0,31,23.0,21.0,305.0,303.0 
18,16,15.0,26,16.0,13.0,304.0,301.0 
18,16,14.0,26,16.0,14.0,304.0,302.0 
25,24,21.0,33,24.0,22.0,305.0,303.0 
18,17,14.0,27,17.0,16.0,308.0,307.0 
16,14,11.0,24,14.0,12.0,308.0,306.0 
22,24,19.0,34,24.0,21.0,310.0,307.0 
23,25,21.0,33,25.0,22.0,305.0,302.0 
32,31,26.0,41,31.0,28.0,308.0,305.0 
29,27,23.0,34,27.0,24.0,308.0,305.0 
27,21,19.0,30,21.0,18.0,310.0,307.0 
27,23,20.0,33,23.0,20.0,315.0,312.0 
25,21,20.0,35,21.0,18.0,317.0,314.0 
20,18,15.0,29,18.0,16.0,314.0,312.0 
23,21,18.0,32,21.0,18.0,316.0,313.0 
17,16,11.0,26,16.0,13.0,317.0,314.0 
20,22,17.0,30,22.0,19.0,317.0,314.0 
25,22,19.0,35,22.0,19.0,311.0,308.0 
22,24,19.0,32,24.0,21.0,313.0,310.0 
27,27,23.0,34,27.0,25.0,316.0,314.0 
23,25,20.0,35,25.0,22.0,315.0,312.0 
20,24,20.0,30,24.0,21.0,315.0,312.0 
21,22,19.0,30,22.0,19.0,315.0,312.0 
28,27,24.0,37,27.0,24.0,317.0,314.0 
27,31,23.0,40,31.0,28.0,315.0,312.0 
25,26,21.0,36,26.0,24.0,313.0,311.0 
29,29,24.0,36,29.0,27.0,311.0,309.0 
24,24,21.0,32,24.0,21.0,309.0,306.0 
31,29,25.0,37,29.0,28.0,314.0,313.0 
32,33,28.0,41,33.0,30.0,314.0,311.0 
25,22,19.0,31,22.0,20.0,313.0,311.0 
23,19,17.0,29,19.0,17.0,313.0,311.0 
25,23,19.0,33,23.0,20.0,313.0,310.0 
25,20,18.0,31,20.0,19.0,316.0,315.0 
25,21,20.0,31,21.0,18.0,311.0,308.0 
30,24,21.0,36,24.0,22.0,312.0,310.0 
34,26,23.0,39,26.0,23.0,311.0,308.0 
34,28,26.0,37,28.0,26.0,315.0,313.0 
34,30,28.0,39,30.0,27.0,316.0,313.0 
