p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
1,7,0.0,39,7.0,4.0,95.0,92.0 
1,12,0.0,41,12.0,10.0,161.0,159.0 
1,14,1.0,32,14.0,11.0,196.0,193.0 
3,9,1.0,30,9.0,8.0,207.0,206.0 
2,15,1.0,30,15.0,13.0,246.0,244.0 
2,18,0.0,32,18.0,16.0,277.0,275.0 
2,19,1.0,30,19.0,14.0,303.0,298.0 
3,16,0.0,27,16.0,13.0,322.0,319.0 
3,21,2.0,29,21.0,15.0,332.0,326.0 
4,21,3.0,31,21.0,17.0,340.0,336.0 
2,24,1.0,30,24.0,18.0,352.0,346.0 
3,20,1.0,30,20.0,15.0,354.0,349.0 
5,23,3.0,29,23.0,17.0,360.0,354.0 
6,13,2.0,27,13.0,11.0,358.0,356.0 
5,25,4.0,37,25.0,19.0,363.0,357.0 
9,26,6.0,39,26.0,20.0,362.0,356.0 
7,14,2.0,26,14.0,9.0,362.0,357.0 
6,14,3.0,22,14.0,9.0,364.0,359.0 
5,14,2.0,25,14.0,8.0,364.0,358.0 
7,17,5.0,26,17.0,11.0,364.0,358.0 
16,28,12.0,41,28.0,21.0,367.0,360.0 
13,24,7.0,40,24.0,18.0,364.0,358.0 
11,33,10.0,42,33.0,26.0,368.0,361.0 
12,23,9.0,32,23.0,17.0,362.0,356.0 
10,14,4.0,23,14.0,11.0,359.0,356.0 
8,13,4.0,21,13.0,9.0,365.0,361.0 
9,22,6.0,34,22.0,16.0,368.0,362.0 
13,25,7.0,36,25.0,18.0,365.0,358.0 
16,26,8.0,37,26.0,21.0,363.0,358.0 
13,29,11.0,38,29.0,22.0,367.0,360.0 
8,17,5.0,28,17.0,11.0,364.0,358.0 
9,17,8.0,25,17.0,10.0,368.0,361.0 
11,19,8.0,29,19.0,12.0,368.0,361.0 
11,14,6.0,27,14.0,8.0,364.0,358.0 
12,21,7.0,34,21.0,15.0,369.0,363.0 
13,23,8.0,32,23.0,16.0,374.0,367.0 
12,15,10.0,26,15.0,8.0,371.0,364.0 
13,17,10.0,32,17.0,11.0,367.0,361.0 
14,17,8.0,28,17.0,11.0,366.0,360.0 
16,24,13.0,38,24.0,18.0,367.0,361.0 
13,24,9.0,33,24.0,18.0,370.0,364.0 
7,11,3.0,27,11.0,7.0,363.0,359.0 
10,19,6.0,31,19.0,13.0,363.0,357.0 
13,25,11.0,30,25.0,19.0,370.0,364.0 
8,17,4.0,24,17.0,10.0,363.0,356.0 
12,17,7.0,30,17.0,11.0,362.0,356.0 
9,13,8.0,26,13.0,7.0,364.0,358.0 
10,18,10.0,25,18.0,11.0,366.0,359.0 
12,21,9.0,26,21.0,14.0,369.0,362.0 
8,20,6.0,29,20.0,15.0,371.0,366.0 
6,19,4.0,24,19.0,13.0,371.0,365.0 
7,20,6.0,31,20.0,14.0,373.0,367.0 
7,16,5.0,28,16.0,10.0,369.0,363.0 
9,13,4.0,23,13.0,7.0,369.0,363.0 
11,13,7.0,27,13.0,7.0,370.0,364.0 
17,24,11.0,38,24.0,17.0,365.0,358.0 
14,20,10.0,34,20.0,15.0,364.0,359.0 
12,20,6.0,33,20.0,16.0,367.0,363.0 
13,28,8.0,39,28.0,22.0,370.0,364.0 
15,26,12.0,39,26.0,20.0,364.0,358.0 
17,25,11.0,43,25.0,20.0,358.0,353.0 
18,28,13.0,42,28.0,22.0,358.0,352.0 
12,26,6.0,33,26.0,20.0,365.0,359.0 
6,21,5.0,30,21.0,15.0,366.0,360.0 
10,19,8.0,30,19.0,13.0,368.0,362.0 
13,26,10.0,33,26.0,19.0,372.0,365.0 
13,25,8.0,34,25.0,18.0,366.0,359.0 
11,21,8.0,30,21.0,15.0,366.0,360.0 
11,21,8.0,31,21.0,15.0,362.0,356.0 
12,20,8.0,32,20.0,13.0,360.0,353.0 
14,20,10.0,30,20.0,13.0,362.0,355.0 
9,13,6.0,22,13.0,7.0,359.0,353.0 
9,15,9.0,23,15.0,8.0,365.0,358.0 
9,15,5.0,28,15.0,9.0,363.0,357.0 
12,14,7.0,24,14.0,8.0,361.0,355.0 
11,19,7.0,31,19.0,14.0,358.0,353.0 
14,21,10.0,34,21.0,14.0,356.0,349.0 
14,25,10.0,36,25.0,19.0,365.0,359.0 
12,27,11.0,33,27.0,20.0,373.0,366.0 
17,28,13.0,36,28.0,21.0,370.0,363.0 
15,25,12.0,36,25.0,18.0,370.0,363.0 
11,23,7.0,32,23.0,17.0,374.0,368.0 
15,22,11.0,37,22.0,15.0,371.0,364.0 
13,19,6.0,37,19.0,14.0,366.0,361.0 
13,24,11.0,31,24.0,17.0,366.0,359.0 
12,17,6.0,32,17.0,14.0,364.0,361.0 
13,22,8.0,31,22.0,16.0,366.0,360.0 
16,32,14.0,38,32.0,25.0,370.0,363.0 
14,25,12.0,33,25.0,18.0,367.0,360.0 
13,25,12.0,35,25.0,18.0,367.0,360.0 
15,23,11.0,33,23.0,16.0,364.0,357.0 
17,22,14.0,34,22.0,15.0,359.0,352.0 
17,25,15.0,35,25.0,18.0,361.0,354.0 
14,24,9.0,39,24.0,19.0,360.0,355.0 
14,24,10.0,35,24.0,18.0,369.0,363.0 
16,27,13.0,36,27.0,20.0,361.0,354.0 
13,27,9.0,36,27.0,21.0,365.0,359.0 
13,25,10.0,33,25.0,19.0,364.0,358.0 
18,31,13.0,40,31.0,24.0,366.0,359.0 
18,31,15.0,38,31.0,24.0,370.0,363.0 
14,20,13.0,30,20.0,13.0,370.0,363.0 
11,14,9.0,26,14.0,7.0,365.0,358.0 
14,21,11.0,31,21.0,15.0,371.0,365.0 
12,18,11.0,30,18.0,11.0,363.0,356.0 
8,13,5.0,26,13.0,8.0,362.0,357.0 
9,17,8.0,26,17.0,10.0,365.0,358.0 
10,18,8.0,30,18.0,11.0,364.0,357.0 
9,21,6.0,32,21.0,15.0,363.0,357.0 
10,18,7.0,26,18.0,11.0,363.0,356.0 
7,22,6.0,30,22.0,16.0,368.0,362.0 
9,22,7.0,25,22.0,15.0,372.0,365.0 
11,20,9.0,31,20.0,13.0,367.0,360.0 
6,15,5.0,26,15.0,10.0,363.0,358.0 
8,20,6.0,26,20.0,14.0,359.0,353.0 
12,24,7.0,33,24.0,19.0,361.0,356.0 
8,20,7.0,27,20.0,13.0,363.0,356.0 
7,16,5.0,24,16.0,9.0,366.0,359.0 
11,21,8.0,34,21.0,15.0,361.0,355.0 
14,21,9.0,33,21.0,15.0,357.0,351.0 
20,32,15.0,41,32.0,25.0,360.0,353.0 
17,23,9.0,34,23.0,20.0,357.0,354.0 
15,19,11.0,30,19.0,13.0,364.0,358.0 
14,23,12.0,33,23.0,16.0,363.0,356.0 
11,20,6.0,35,20.0,14.0,361.0,355.0 
10,20,4.0,29,20.0,15.0,362.0,357.0 
12,21,11.0,32,21.0,14.0,366.0,359.0 
7,19,4.0,26,19.0,13.0,364.0,358.0 
9,18,7.0,30,18.0,12.0,364.0,358.0 
12,24,9.0,35,24.0,17.0,367.0,360.0 
9,23,8.0,32,23.0,17.0,365.0,359.0 
13,24,7.0,34,24.0,18.0,365.0,359.0 
12,24,8.0,35,24.0,17.0,363.0,356.0 
10,17,4.0,30,17.0,13.0,363.0,359.0 
7,17,5.0,30,17.0,11.0,366.0,360.0 
16,27,11.0,37,27.0,20.0,369.0,362.0 
14,25,9.0,40,25.0,20.0,365.0,360.0 
16,28,12.0,36,28.0,21.0,361.0,354.0 
18,26,12.0,36,26.0,20.0,362.0,356.0 
18,23,15.0,32,23.0,17.0,362.0,356.0 
19,22,14.0,37,22.0,17.0,363.0,358.0 
18,28,14.0,41,28.0,23.0,361.0,356.0 
15,22,12.0,31,22.0,15.0,360.0,353.0 
14,20,11.0,29,20.0,13.0,361.0,354.0 
14,26,10.0,33,26.0,20.0,364.0,358.0 
11,24,9.0,31,24.0,18.0,369.0,363.0 
14,22,9.0,31,22.0,16.0,367.0,361.0 
16,24,11.0,36,24.0,17.0,365.0,358.0 
14,26,12.0,39,26.0,20.0,364.0,358.0 
17,27,11.0,37,27.0,22.0,365.0,360.0 
19,31,16.0,39,31.0,25.0,367.0,361.0 
