{8312862=<>20  19, 1381345892==, 17698956==, 278093318==, 140080129==, 73417273=<>0  12, 8861752=<>0  6},1420574522643
{14192680=<>0  7, 1381345892==, 17698956==, 278093318==, 140080129==, 12413892==, 8861752=<>6  15},1420574582643
{15520253=<>0  20, 1381345892==, 183807568=<>, 278093318==, 73417273=<>12  10, 487535749==, 976147104==},1420574642643
{17698956==, 183807568==, 140080129==, 92733433=<>, 8861752==, 89787221==, 12273252==},1420574702643
{17698956==, 38702668==, 17604456=<>0  10, 183807568==, 278093318==, 140080129==, 1618007706=<>},1420574762643
{1381345892==, 17698956=<>0  29, 186222238=<>0  18, 140080129==, 21842357==, 73417273==, 309220197==},1420574822643
{14192680=<>7  22, 183807568=<>22  19, 21796484=<>, 140080129==, 17070252=<>0  10, 12413892==, 18725415=<>0  5},1420574882643
{14845376==, 140080129==, 7867072=<>0  6, 1618007706==, 976147104=<>0  22, 23973187==, 92733433=<>},1420574942643
{16621805=<>, 824157=<>, 34541677=<>0  5, 384479689==, 189107456=<>0  16, 140080129=<>, 24705687=<>0  22},1420575002643
{326821147=<>, 1381345892==, 1051313198=<>, 73417273==, 8861752=<>, 89787221==, 12273252=<>0  24},1420575062643
{15520253==, 276554601=<>, 186222238=<>18  8, 12413892=<>0  24, 16220541=<>0  15, 11178672=<>0  12, 46358463=<>0  13},1420575122643
{16045956=<>0  8, 1381345892==, 27103822=<>, 140080129==, 1618007706=<>10  6, 217588851=<>0  15, 92733433=<>},1420575182643
{14192680=<>, 118292510=<>, 17604456=<>, 278093318=<>, 140080129==, 17070252=<>10  13, 27091328=<>18  22},1420575242643
{23742474=<>, 16262688=<>, 140080129==, 21842357==, 73417273==, 4380591==, 8861752==},1420575302643
{8312862=<>, 10069612=<>, 19964088=<>, 140080129==, 28319608=<>0  22, 174890917=<>22  10, 487535749=<>},1420575362643
{14845376=<>, 23354464=<>, 202777395=<>, 20745130=<>, 25368027=<>, 26337145==, 309220197=<>},1420575422643
{276554601=<>, 278093318=<>, 140080129==, 7867072=<>, 1618007706==, 92733433=<>, 89787221=<>},1420575482643
{14192680=<>16  4, 19200736=<>, 61292961=<>, 140080129=<>, 12413892==, 18964685=<>, 12273252==},1420575542643
{326821147=<>, 34541677=<>5  23, 14787749=<>, 189107456=<>16  10, 140080129==, 50023090=<>, 73417273=<>},1420575602643
{17698956=<>, 384479689=<>, 259637983=<>, 69020299=<>, 140080129==, 309220197=<>, 8861752=<>},1420575662643
{104227735=<>, 193232854=<>, 349227445=<>, 24849868=<>, 31634255=<>, 14811775=<>, 976147104=<>},1420575722643
{15836048=<>, 1381345892==, 186222238=<>, 21796484=<>, 14745100=<>, 15787325=<>, 195897346=<>},1420575782643
{394078527=<>, 27103822=<>, 183807568=<>, 140080129=<>, 35947725=<>, 92791146=<>, 525187154=<>},1420575842643
{21986815=<>, 276554601=<>, 17698956==, 19274498=<>, 17070252=<>, 17348724=<>, 92733433=<>},1420575902643
{278093318==, 818340=<>, 140080129==, 73417273==, 388784593=<>, 89787221=<>, 8861752==},1420575962643
{8312862=<>, 14845376=<>, 17698956==, 118292510==, 140080129==, 7867072=<>, 12273252=<>},1420576022643
{292289403=<>, 24849868==, 16262688=<>, 21842357=<>, 34409159=<>, 387220815=<>, 16785615=<>},1420576082643
{140140890=<>, 14192680=<>, 1051313198=<>, 24206345=<>, 12413892=<>, 199358175=<>, 96184837=<>},1420576142643
{824157=<>, 394078527=<>, 17698956==, 183807568==, 45710831=<>, 140080129=<>, 123576946=<>},1420576202643
{23742474=<>, 180026716=<>, 22192440=<>, 16101657=<>, 20096207=<>, 27091328=<>, 15856366=<>},1420576262643
{1381345892=<>, 17698956=<>, 27103822==, 278093318=<>, 186222238=<>, 140080129=<>, 92733433=<>},1420576322643
{8312862=<>, 38702668=<>, 2200632505=<>, 130600206=<>, 97175299=<>, 487535749=<>, 44426926=<>},1420576382643
{326821147=<>, 384479689=<>, 50023090=<>, 73417273=<>, 15646547=<>, 525187154=<>, 8861752=<>},1420576442643
{108039570=<>, 34541677=<>, 23354464=<>, 183807568==, 140080129=<>, 16220541=<>, 976147104=<>},1420576502643
{15520253=<>, 17698956=<>, 193232854==, 12413892=<>, 1618007706=<>, 309220197=<>, 12273252=<>},1420576562643
{394078527=<>, 17604456=<>, 278093318=<>, 7867072=<>, 329121956=<>, 18970044=<>, 14811775=<>},1420576622643
{16045956=<>, 188077169=<>, 14736904=<>, 26337145=<>, 22948692=<>, 46697447=<>, 24705687=<>},1420576682643
{61292961=<>, 69020299=<>, 120985729=<>, 24849868=<>, 140080129==, 174890917=<>, 89787221=<>},1420576742643
{1381345892=<>, 824157==, 19034656=<>, 61733092=<>, 46358463=<>, 18964685=<>, 1365924662=<>},1420576802643
{14192680==, 55252152=<>, 10069612=<>, 259637983=<>, 57333521=<>, 811303=<>, 49437246=<>},1420576862643
{394078527==, 15980503=<>, 140080129=<>, 512403075=<>, 1618007706=<>, 44426926=<>, 89316412=<>},1420576922643
{326821147=<>, 17698956=<>, 24849868==, 140080129==, 12413892==, 23973187=<>, 24773493=<>},1420576982643
{14845376=<>, 10005212=<>, 316053072=<>, 186222238=<>, 8861752=<>, 123576946=<>, 12273252==},1420577042643
{15445129=<>, 276554601=<>, 22990521=<>, 21104725=<>, 19964088=<>, 25368027==, 73417273=<>},1420577102643
{109013694=<>, 278093318=<>, 24849868=<>, 17070252=<>, 7867072=<>, 89787221=<>, 195897346=<>},1420577162643
{1381345892==, 108039570=<>, 24206345=<>, 1454742764=<>, 17047743=<>, 226606138=<>, 19934731=<>},1420577222643
{292289403=<>, 14192680==, 824157=<>, 17698956=<>, 16262688=<>, 18360000=<>, 33320626=<>},1420577282643
{34541677=<>, 119538278=<>, 18725415=<>, 19781206=<>, 214214616=<>, 976147104=<>, 149157068=<>},1420577342643
{15520253=<>, 384479689=<>, 373316165=<>, 202777395=<>, 45710831=<>, 22948692=<>, 14745100=<>},1420577402643
{203020760=<>, 14845376=<>, 23354464=<>, 1618007706=<>, 16220541==, 8861752=<>, 12273252==},1420577462643
{51220493=<>, 40996128=<>, 326821147=<>, 17698956==, 309220197=<>, 23973187=<>6  5, 92733433=<>},1420577522643
{1381345892=<>, 27103822=<>, 10069612=<>, 24849868==, 186222238=<>, 4282171=<>, 44426926=<>},1420577582643
{14192680=<>, 104227735=<>, 21842357=<>, 140080129=<>, 73417273=<>, 22948692==, 92791146=<>},1420577642643
{824157=<>, 20133051=<>, 140080129==, 174890917=<>, 27091328=<>, 14811775=<>, 199358175=<>},1420577702643
{19205893=<>, 8312862=<>, 87290802=<>, 188077169=<>, 278093318=<>, 69020299==, 976147104=<>},1420577762643
{44448194=<>, 19200736=<>, 338262255=<>, 34409159=<>, 487535749=<>, 17145499=<>, 16785615=<>},1420577822643
{16045956==, 109013694=<>, 7867072=<>, 140080129==, 57333521=<>, 33320626=<>, 89787221=<>},1420577882643
{292289403=<>, 17698956==, 226493139=<>, 1051313198==, 18703477=<>, 20096207==, 35818653=<>},1420577942643
{808721557=<>, 1381345892==, 14845376=<>, 10005212=<>, 382230093=<>, 17070252=<>, 92733433=<>},1420578002643
{1581203119=<>, 130447060=<>, 14736904=<>, 16262688=<>, 22948692==, 24705687=<>, 8861752=<>},1420578062643
{276554601=<>, 37666026=<>, 16277373=<>, 20745130=<>, 22990521=<>, 21796484==, 17348724==},1420578122643
{36767344=<>, 15520253==, 278093318=<>, 19964088=<>, 140080129=<>, 73417273=<>, 12273252=<>},1420578182643
{1381345892==, 34541677=<>, 23354464=<>, 188077169=<>, 10069612=<>, 1618007706=<>, 22948692=<>},1420578242643
{14192680=<>, 14845376==, 384479689=<>, 21842357=<>, 76162725=<>, 92733433=<>, 149157068=<>},1420578302643
{8312862=<>, 108039570==, 27103822=<>, 25368027=<>, 11178672=<>, 23624581=<>, 15646547=<>},1420578362643
{51220493=<>, 58975906=<>, 321470779=<>, 12413892=<>, 24426175=<>, 309220197=<>, 43216942=<>},1420578422643
{15445129=<>, 41119424=<>, 19274498=<>, 131003396=<>, 18964685=<>, 89787221=<>, 8861752=<>},1420578482643
{50225386=<>, 278093318=<>, 120985729=<>, 74578857=<>, 140080129=<>, 22948692==, 195897346=<>},1420578542643
{16621805=<>, 1006922053=<>, 130447060=<>, 259637983=<>, 17070252=<>, 16262688==, 1618007706=<>},1420578602643
{1381345892=<>, 14787749=<>, 263131563=<>, 7867072=<>, 12794362=<>, 73417273=<>, 92733433=<>},1420578662643
{17604456=<>, 28516164=<>, 24849868=<>, 22192440=<>, 44426926=<>, 309220197=<>, 12273252=<>},1420578722643
{14192680=<>, 14845376=<>, 17472921=<>, 90714989=<>, 24206345==, 57333521=<>, 27091328=<>},1420578782643
{824157=<>, 10005212=<>, 69020299=<>, 140080129=<>, 15920875=<>, 388784593=<>, 15856366=<>},1420578842643
