{8312862=<>, 12413892=<>, 17698956=<>, 326821147=<>},1420574522643
{174890917=<>, 1581203119=<>, 107654081=<>, 21862217=<>, 27091328=<>},1420574582643
{15520253=<>, 118292510=<>, 278093318=<>, 12273252=<>, 183807568=<>},1420574642643
{140080129=<>, 17698956=<>, 92733433=<>},1420574702643
{186222238=<>, 17604456=<>, 8861752=<>, 12413892=<>, 38702668=<>},1420574762643
{309220197=<>, 1618007706=<>, 26207922=<>, 49437246=<>, 1381345892=<>},1420574822643
{18725415=<>, 89787221=<>, 21796484=<>, 7867072=<>, 14192680=<>},1420574882643
{140080129=<>, 174890917=<>, 92733433=<>, 12273252=<>, 14845376=<>},1420574942643
{24705687=<>, 15920875=<>, 16621805=<>, 824157=<>, 27091328=<>},1420575002643
{18964685=<>, 19934731=<>, 195897346=<>, 46358463=<>, 21986815=<>},1420575062643
{87290802=<>, 276554601=<>, 16220541=<>, 61292961=<>, 76162725=<>},1420575122643
{27103822=<>, 19200736=<>, 12413892=<>, 16045956=<>, 202777395=<>},1420575182643
{15520253=<>, 118292510=<>, 17604456=<>, 278093318=<>, 55252152=<>},1420575242643
{73417273=<>, 8861752=<>, 21842357=<>, 28319608=<>, 23742474=<>},1420575302643
{11178672=<>, 19964088=<>, 326821147=<>, 120985729=<>, 10069612=<>},1420575362643
{23354464=<>, 309220197=<>, 44682474=<>, 26337145=<>, 25368027=<>},1420575422643
{1618007706=<>, 89787221=<>, 7867072=<>, 46697447=<>, 14192680=<>},1420575482643
{140080129=<>, 189107456=<>, 17070252=<>, 226107231=<>, 12273252=<>},1420575542643
{50023090=<>, 278093318=<>, 27091328=<>, 92733433=<>, 14787749=<>},1420575602643
{195897346=<>, 4380591=<>, 199358175=<>, 17698956=<>, 202777395=<>},1420575662643
{512403075=<>, 976147104=<>, 31634255=<>, 15980503=<>, 24849868=<>},1420575722643
{21044502=<>, 15836048=<>, 15787325=<>, 14745100=<>, 21104725=<>},1420575782643
{525187154=<>, 35947725=<>, 487535749=<>, 394078527=<>, 183807568=<>},1420575842643
{17348724=<>, 114872969=<>, 16262688=<>, 14845376=<>, 8923182=<>},1420575902643
{8861752=<>, 28319608=<>, 818340=<>, 21986815=<>, 69020299=<>},1420575962643
{384479689=<>, 11178672=<>, 118292510=<>, 8312862=<>, 21796484=<>},1420576022643
{34409159=<>, 16785615=<>, 174890917=<>, 292289403=<>, 17810599=<>},1420576082643
{186222238=<>, 140140890=<>, 1051313198=<>, 36440780=<>, 1381345892=<>},1420576142643
{276554601=<>, 20745130=<>, 824157=<>, 45710831=<>, 123576946=<>},1420576202643
{180026716=<>, 23354464=<>, 16101657=<>, 193232854=<>, 12413892=<>},1420576262643
{140080129=<>, 278093318=<>, 27091328=<>, 166715703=<>, 12273252=<>},1420576322643
{130600206=<>, 19034656=<>, 2200632505=<>, 97175299=<>, 44426926=<>},1420576382643
{50023090=<>, 92733433=<>, 14192680=<>, 326821147=<>, 15646547=<>},1420576442643
{976147104=<>, 487535749=<>, 108039570=<>, 17698956=<>, 183807568=<>},1420576502643
{309220197=<>, 1618007706=<>, 61292961=<>, 20096207=<>, 195897346=<>},1420576562643
{17604456=<>, 8861752=<>, 394078527=<>, 14811775=<>, 818340=<>},1420576622643
{169193463=<>, 22948692=<>, 24705687=<>, 188077169=<>, 14736904=<>},1420576682643
{525187154=<>, 89787221=<>, 24849868=<>, 16045956=<>, 120985729=<>},1420576742643
{174890917=<>, 61733092=<>, 46358463=<>, 1381345892=<>, 69020299=<>},1420576802643
{57333521=<>, 359630710=<>, 92791146=<>, 49437246=<>, 55252152=<>},1420576862643
{512403075=<>, 89316412=<>, 23354464=<>, 34541677=<>, 10069612=<>},1420576922643
{140080129=<>, 23973187=<>, 24773493=<>, 12413892=<>, 824157=<>},1420576982643
{186222238=<>, 10005212=<>, 12273252=<>, 123576946=<>, 14845376=<>},1420577042643
{22990521=<>, 73417273=<>, 25368027=<>, 15445129=<>, 19964088=<>},1420577102643
{278093318=<>, 16101657=<>, 20263526=<>, 109013694=<>, 7867072=<>},1420577162643
{16785615=<>, 17047743=<>, 1454742764=<>, 14192680=<>, 24206345=<>},1420577222643
{16262688=<>, 108039570=<>, 17698956=<>, 24849868=<>, 33320626=<>},1420577282643
{18725415=<>, 119538278=<>, 976147104=<>, 214214616=<>, 149157068=<>},1420577342643
