p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
1,3,0.0,39,9.0,9.0,94.0,94.0 
2,7,0.0,41,17.0,17.0,161.0,161.0 
0,5,0.0,32,11.0,10.0,198.0,197.0 
2,5,0.0,30,9.0,9.0,210.0,210.0 
3,6,0.0,30,11.0,11.0,259.0,259.0 
3,11,2.0,32,23.0,22.0,286.0,285.0 
8,17,6.0,30,24.0,23.0,312.0,311.0 
9,15,8.0,27,22.0,21.0,326.0,325.0 
7,15,7.0,29,26.0,25.0,344.0,343.0 
5,15,5.0,31,27.0,26.0,350.0,349.0 
7,16,6.0,30,26.0,25.0,359.0,358.0 
8,16,8.0,30,25.0,24.0,363.0,362.0 
7,12,6.0,29,24.0,23.0,368.0,367.0 
8,11,6.0,27,21.0,20.0,370.0,369.0 
10,17,8.0,37,34.0,33.0,373.0,372.0 
14,19,12.0,39,37.0,36.0,377.0,376.0 
12,12,10.0,26,23.0,22.0,382.0,381.0 
10,13,10.0,22,20.0,19.0,385.0,384.0 
13,15,13.0,25,23.0,22.0,383.0,382.0 
15,18,15.0,26,26.0,25.0,383.0,382.0 
16,18,14.0,41,37.0,36.0,382.0,381.0 
14,18,12.0,40,36.0,35.0,384.0,383.0 
13,18,12.0,42,41.0,40.0,386.0,385.0 
12,17,11.0,32,31.0,30.0,385.0,384.0 
11,12,9.0,23,20.0,19.0,388.0,387.0 
11,14,10.0,21,19.0,18.0,394.0,393.0 
13,18,12.0,34,32.0,31.0,394.0,393.0 
15,17,13.0,36,34.0,33.0,391.0,390.0 
17,21,16.0,37,35.0,34.0,391.0,390.0 
18,20,17.0,38,36.0,35.0,393.0,392.0 
10,13,10.0,28,26.0,25.0,395.0,394.0 
15,18,15.0,25,24.0,23.0,394.0,393.0 
12,14,12.0,29,28.0,27.0,393.0,392.0 
17,20,17.0,27,26.0,25.0,393.0,392.0 
17,21,17.0,34,34.0,33.0,393.0,392.0 
10,14,9.0,32,30.0,29.0,391.0,390.0 
11,14,11.0,26,24.0,23.0,390.0,389.0 
14,15,14.0,32,29.0,28.0,389.0,388.0 
18,19,17.0,28,26.0,25.0,393.0,392.0 
16,18,16.0,38,36.0,35.0,394.0,393.0 
12,16,12.0,33,31.0,30.0,395.0,394.0 
10,14,10.0,27,26.0,25.0,395.0,394.0 
14,16,13.0,31,29.0,28.0,394.0,393.0 
12,12,11.0,30,26.0,25.0,392.0,391.0 
12,14,11.0,24,22.0,21.0,391.0,390.0 
11,15,11.0,30,28.0,27.0,389.0,388.0 
13,12,10.0,26,22.0,21.0,388.0,387.0 
12,13,11.0,25,20.0,19.0,386.0,385.0 
17,18,15.0,26,22.0,21.0,386.0,385.0 
11,14,10.0,29,26.0,25.0,385.0,384.0 
9,14,9.0,24,22.0,21.0,387.0,386.0 
14,18,13.0,31,28.0,27.0,385.0,384.0 
14,16,14.0,28,25.0,24.0,385.0,384.0 
15,16,15.0,23,22.0,21.0,382.0,381.0 
16,17,16.0,27,24.0,23.0,381.0,380.0 
18,18,17.0,38,33.0,32.0,384.0,383.0 
18,18,16.0,34,29.0,28.0,387.0,386.0 
19,20,18.0,33,31.0,30.0,387.0,386.0 
16,17,15.0,39,36.0,35.0,387.0,386.0 
16,16,15.0,39,37.0,36.0,390.0,389.0 
16,18,16.0,43,41.0,40.0,390.0,389.0 
18,17,17.0,42,38.0,37.0,388.0,387.0 
13,17,12.0,33,30.0,29.0,387.0,386.0 
11,14,10.0,30,28.0,27.0,386.0,385.0 
15,15,14.0,30,28.0,27.0,385.0,384.0 
17,18,17.0,33,30.0,29.0,385.0,384.0 
14,14,11.0,34,30.0,29.0,383.0,382.0 
16,16,15.0,30,26.0,25.0,383.0,382.0 
14,15,12.0,31,26.0,25.0,386.0,385.0 
17,15,15.0,32,28.0,27.0,388.0,387.0 
14,14,12.0,30,27.0,26.0,388.0,387.0 
11,12,10.0,22,19.0,18.0,390.0,389.0 
14,17,14.0,23,23.0,22.0,393.0,392.0 
13,15,13.0,28,27.0,26.0,393.0,392.0 
11,14,10.0,24,22.0,21.0,393.0,392.0 
16,16,13.0,31,26.0,25.0,390.0,389.0 
19,19,17.0,34,31.0,30.0,391.0,390.0 
17,17,15.0,36,34.0,33.0,392.0,391.0 
16,17,15.0,33,31.0,30.0,394.0,393.0 
14,15,13.0,36,34.0,33.0,393.0,392.0 
17,18,16.0,36,35.0,34.0,391.0,390.0 
15,16,14.0,32,31.0,30.0,391.0,390.0 
18,18,17.0,37,35.0,34.0,393.0,392.0 
16,19,16.0,37,35.0,34.0,394.0,393.0 
15,18,15.0,31,29.0,28.0,394.0,393.0 
14,15,13.0,32,28.0,27.0,393.0,392.0 
17,19,16.0,31,28.0,27.0,392.0,391.0 
15,16,13.0,38,34.0,33.0,390.0,389.0 
16,16,15.0,33,29.0,28.0,387.0,386.0 
20,19,19.0,35,31.0,30.0,386.0,385.0 
14,15,12.0,33,30.0,29.0,387.0,386.0 
15,17,14.0,34,33.0,32.0,390.0,389.0 
19,18,18.0,35,33.0,32.0,390.0,389.0 
19,20,18.0,39,38.0,37.0,392.0,391.0 
17,17,16.0,35,33.0,32.0,390.0,389.0 
20,19,19.0,36,34.0,33.0,391.0,390.0 
14,13,13.0,36,33.0,32.0,393.0,392.0 
15,15,15.0,33,30.0,29.0,392.0,391.0 
18,19,17.0,40,37.0,36.0,393.0,392.0 
19,19,17.0,38,35.0,34.0,391.0,390.0 
14,15,14.0,30,30.0,29.0,394.0,393.0 
17,19,17.0,26,25.0,24.0,393.0,392.0 
14,14,13.0,31,28.0,27.0,392.0,391.0 
15,17,14.0,30,28.0,27.0,393.0,392.0 
13,14,13.0,26,25.0,24.0,391.0,390.0 
16,16,16.0,26,25.0,24.0,392.0,391.0 
17,17,16.0,30,27.0,26.0,390.0,389.0 
13,14,13.0,32,28.0,27.0,392.0,391.0 
14,14,13.0,26,24.0,23.0,394.0,393.0 
13,13,13.0,30,27.0,26.0,394.0,393.0 
14,15,14.0,25,24.0,23.0,393.0,392.0 
17,17,17.0,31,30.0,29.0,393.0,392.0 
17,16,16.0,26,25.0,24.0,390.0,389.0 
13,15,13.0,26,26.0,25.0,391.0,390.0 
17,19,17.0,33,32.0,31.0,388.0,387.0 
12,13,12.0,27,25.0,24.0,387.0,386.0 
16,17,16.0,24,23.0,22.0,390.0,389.0 
15,16,14.0,34,30.0,29.0,389.0,388.0 
16,16,14.0,33,30.0,29.0,388.0,387.0 
18,18,17.0,41,40.0,39.0,391.0,390.0 
15,15,15.0,34,31.0,30.0,389.0,388.0 
16,17,16.0,30,28.0,27.0,390.0,389.0 
20,21,20.0,33,33.0,32.0,390.0,389.0 
14,15,14.0,35,33.0,32.0,389.0,388.0 
