p,s,p&s,totalNumberOfCandidatesinML,numberOfExpiredCandidatesinML,numberOfExpiredCandidatesAfterTheMaintenanceinML,numberOfExpiredElementsInTheView,numberOfExpiredElementsInTheViewAfterTheMaintenance 
1,4,0.0,39,4.0,4.0,19.0,19.0 
1,4,0.0,41,4.0,4.0,46.0,46.0 
1,3,0.0,32,3.0,1.0,64.0,62.0 
3,1,0.0,30,1.0,1.0,68.0,68.0 
2,7,0.0,30,7.0,6.0,78.0,77.0 
2,8,0.0,32,8.0,7.0,99.0,98.0 
2,10,0.0,30,10.0,7.0,119.0,116.0 
3,6,0.0,27,6.0,4.0,133.0,131.0 
3,9,0.0,29,9.0,8.0,150.0,149.0 
4,14,1.0,31,14.0,11.0,179.0,176.0 
2,15,1.0,30,15.0,10.0,196.0,191.0 
3,15,1.0,30,15.0,11.0,217.0,213.0 
5,21,3.0,29,21.0,14.0,240.0,233.0 
6,11,2.0,27,11.0,7.0,241.0,237.0 
5,16,3.0,37,16.0,11.0,246.0,241.0 
9,19,4.0,39,19.0,15.0,275.0,271.0 
7,10,1.0,26,10.0,6.0,297.0,293.0 
6,13,3.0,22,13.0,10.0,310.0,307.0 
5,15,2.0,25,15.0,9.0,329.0,323.0 
7,20,4.0,26,20.0,14.0,349.0,343.0 
16,28,11.0,41,28.0,23.0,366.0,361.0 
13,27,10.0,40,27.0,20.0,362.0,355.0 
11,28,10.0,42,28.0,22.0,360.0,354.0 
12,25,9.0,32,25.0,19.0,366.0,360.0 
10,15,7.0,23,15.0,9.0,360.0,354.0 
8,13,3.0,21,13.0,8.0,360.0,355.0 
9,24,8.0,34,24.0,17.0,358.0,351.0 
13,24,8.0,36,24.0,17.0,352.0,345.0 
16,24,8.0,37,24.0,20.0,350.0,346.0 
13,27,11.0,38,27.0,20.0,355.0,348.0 
8,16,5.0,28,16.0,11.0,352.0,347.0 
9,15,6.0,25,15.0,10.0,347.0,342.0 
11,20,9.0,29,20.0,13.0,357.0,350.0 
11,15,8.0,27,15.0,8.0,352.0,345.0 
12,15,4.0,34,15.0,11.0,344.0,340.0 
13,18,7.0,32,18.0,12.0,350.0,344.0 
12,12,10.0,26,12.0,5.0,348.0,341.0 
13,16,10.0,32,16.0,10.0,348.0,342.0 
14,21,9.0,28,21.0,14.0,360.0,353.0 
16,26,14.0,38,26.0,19.0,355.0,348.0 
13,18,8.0,33,18.0,13.0,354.0,349.0 
7,10,4.0,27,10.0,6.0,355.0,351.0 
10,22,7.0,31,22.0,15.0,359.0,352.0 
13,19,10.0,30,19.0,13.0,353.0,347.0 
8,15,5.0,24,15.0,9.0,358.0,352.0 
12,17,8.0,30,17.0,10.0,358.0,351.0 
9,11,6.0,26,11.0,7.0,352.0,348.0 
10,16,9.0,25,16.0,10.0,356.0,350.0 
12,18,9.0,26,18.0,11.0,362.0,355.0 
8,18,7.0,29,18.0,12.0,361.0,355.0 
6,10,4.0,24,10.0,5.0,355.0,350.0 
7,18,6.0,31,18.0,12.0,362.0,356.0 
7,16,4.0,28,16.0,11.0,360.0,355.0 
9,13,4.0,23,13.0,7.0,358.0,352.0 
11,12,7.0,27,12.0,6.0,357.0,351.0 
17,19,12.0,38,19.0,12.0,357.0,350.0 
14,13,10.0,34,13.0,7.0,350.0,344.0 
12,18,9.0,33,18.0,11.0,359.0,352.0 
13,25,9.0,39,25.0,19.0,364.0,358.0 
15,26,13.0,39,26.0,19.0,363.0,356.0 
17,32,13.0,43,32.0,25.0,364.0,357.0 
18,28,12.0,42,28.0,22.0,361.0,355.0 
12,22,6.0,33,22.0,16.0,356.0,350.0 
6,14,4.0,30,14.0,9.0,351.0,346.0 
10,21,9.0,30,21.0,14.0,364.0,357.0 
13,19,9.0,33,19.0,12.0,358.0,351.0 
13,20,8.0,34,20.0,14.0,351.0,345.0 
11,23,10.0,30,23.0,16.0,357.0,350.0 
11,21,8.0,31,21.0,15.0,357.0,351.0 
12,21,8.0,32,21.0,14.0,360.0,353.0 
14,19,8.0,30,19.0,14.0,358.0,353.0 
9,10,6.0,22,10.0,4.0,355.0,349.0 
9,14,7.0,23,14.0,7.0,356.0,349.0 
9,13,4.0,28,13.0,8.0,350.0,345.0 
12,10,7.0,24,10.0,4.0,346.0,340.0 
11,18,9.0,31,18.0,11.0,357.0,350.0 
14,17,10.0,34,17.0,10.0,351.0,344.0 
14,25,11.0,36,25.0,18.0,368.0,361.0 
12,23,10.0,33,23.0,17.0,363.0,357.0 
17,25,13.0,36,25.0,18.0,358.0,351.0 
15,25,14.0,36,25.0,18.0,363.0,356.0 
11,22,7.0,32,22.0,16.0,362.0,356.0 
15,29,14.0,37,29.0,22.0,368.0,361.0 
13,25,10.0,37,25.0,18.0,369.0,362.0 
13,19,11.0,31,19.0,12.0,363.0,356.0 
